catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,ciem_rule_id,confidence,reasoning,ciem_title,ciem_threat_category,ciem_service,ciem_compliance_ids,candidate_count,error
organizations.account.part.of.organizations,account,security,"boto3.client(""account"")",pci_dss_v4_multi_cloud_7.2.5.1_0095,yes,,none,"The catalog rule checks for static AWS Organizations membership, while all CIEM candidates detect dynamic events like account creation/removal or cross-account activities, not the absence of organizational membership.",,,,,20,
s3.account.level.public.access.blocks,account,security,"boto3.client(""account"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004,yes,,none,"No CIEM rule in the list detects S3 account-level public access block configuration changes or violations, which is what the catalog rule s3.account.level.public.access.blocks specifically addresses.",,,,,20,
aws.acm.certificate.not_expired,acm,secrets,"boto3.client(""acm"")",,no,,none,"No CIEM rule detects certificate expiration events, as they monitor CloudTrail/logs for actions like deletion/export, not static certificate validity periods.",,,,,20,
aws.acm.certificates.expiration.check,acm,security,"boto3.client(""acm"")",nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013,yes,,none,"No CIEM rule detects certificate expiration events, as they monitor certificate deletion/export actions rather than expiration status.",,,,,20,
apigatewayv2.api.access.logging.enabled,api,security,"boto3.client(""api"")",pci_dss_v4_multi_cloud_10.2.1.1_0144,yes,,none,"No CIEM rule detects missing API Gateway V2 access logging configuration, as all candidates monitor different services or detect active events rather than configuration gaps.",,,,,20,
aws.api_gateway.api_key.rotation_policy_defined,api_gateway,platform,"boto3.client(""api_gateway"")",,no,,none,No CIEM rule detects API Gateway API key rotation policy configuration or enforcement events.,,,,,5,
aws.api_gateway.api_key.scopes_least_privilege,api_gateway,platform,"boto3.client(""api_gateway"")",,no,,none,"No CIEM rule detects API Gateway API key scope misconfiguration or least privilege violations, as all candidates monitor different credential or API management events unrelated to scope enforcement.",,,,,20,
aws.api_gateway.request_validator.api_content_type_whitelist_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,,none,No CIEM rule detects API Gateway request validator content-type whitelist configuration violations.,,,,,20,
aws.api_gateway.request_validator.api_required_security_headers_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,,none,No CIEM candidate directly detects missing or disabled API Gateway request validators for required security headers.,,,,,20,
aws.api_gateway.request_validator.api_response_schema_validation_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,,none,"No CIEM candidate directly detects the absence of API Gateway request validator schema validation, which is a static configuration control.",,,,,20,
aws.api_gateway.rest_api.waf_attached,api_gateway,platform,"boto3.client(""api_gateway"")",,no,,none,"No CIEM rule detects the absence of WAF attachment to API Gateway REST APIs, only rules that detect WAF deletions or disassociations.",,,,,20,
aws.api_gateway.stage.api_execution_logging_level_minimum_error,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,,none,"The catalog rule is about API Gateway stage execution logging level being set to at least ERROR, a static configuration check, while all CIEM candidates detect runtime errors or access events in logs, not the logging configuration itself.",,,,,10,
aws.api_gateway.stage.api_logs_retention_days_minimum,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,,none,"No CIEM rule detects API Gateway stage logging retention policy violations, as all candidates monitor different services (CloudWatch, ALB, Lambda, S3, CloudTrail, CloudFront, Route53, EKS) rather than API Gateway stage configuration events.",,,,,20,
aws.api_gateway.usage_plan.quota_limits_configured,api_gateway,platform,"boto3.client(""api_gateway"")",,no,,none,No CIEM rule in the list detects the configuration or violation of API Gateway usage plan quota limits.,,,,,20,
aws.api_gateway.v2_api.waf_attached,api_gateway,platform,"boto3.client(""api_gateway"")",,no,,none,"No CIEM rule detects the absence of WAF attachment to API Gateway v2 APIs, only rules detecting WAF deletions or disassociations exist.",,,,,20,
aws.api_gatewayv2.stage.api_access_logging_enabled,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,no,,none,"No CIEM rule detects missing API Gateway v2 stage access logging configuration, as all candidates monitor existing log content rather than the absence of logging configuration.",,,,,20,
aws.apigateway.api_gateway_https_required:nan,apigateway,,"boto3.client(""apigateway"")",,no,,none,"The catalog rule 'aws.apigateway.api_gateway_https_required' requires HTTPS enforcement, but none of the CIEM candidates detect a violation of this static configuration requirement.",,,,,6,
aws.apigateway.authorization_enabled:nan,apigateway,,"boto3.client(""apigateway"")",,no,,none,"The catalog rule 'aws.apigateway.authorization_enabled' checks for static API Gateway authorization configuration, but none of the provided CIEM candidates detect the absence or disabling of authorization on an API Gateway.",,,,,6,
aws.apigateway.certificate.enabled:nan,apigateway,,"boto3.client(""apigateway"")",,no,,none,"The catalog rule appears to check for API Gateway certificate configuration, but none of the CIEM candidates detect certificate-related violations in API Gateway.",,,,,7,
aws.apigateway.restapi_cache_encrypted:nan,apigateway,,"boto3.client(""apigateway"")",,no,,none,"The catalog rule is about API Gateway REST API cache encryption, but none of the CIEM candidates detect a configuration change or event related to cache encryption settings.",,,,,6,
aws.apigateway.restapi_logging_enabled:nan,apigateway,,"boto3.client(""apigateway"")",,no,,none,"No CIEM rule detects missing API Gateway REST API logging configuration, as all candidates monitor API creation/deletion events or other services' logs rather than logging enablement status.",,,,,20,
aws.apigateway.restapi_public:nan,apigateway,,"boto3.client(""apigateway"")",,no,,none,"The catalog rule 'aws.apigateway.restapi_public' suggests a control for preventing public API Gateway REST APIs, but none of the provided CIEM candidates detect a public exposure event or configuration change related to API publicity.",,,,,5,
aws.apigatewayv2.api_access_logging_enabled:nan,apigatewayv2,,"boto3.client(""apigatewayv2"")",,no,,none,"The catalog rule requires API Gateway V2 access logging to be enabled, but none of the CIEM candidates detect configuration changes or events related to enabling/disabling API Gateway V2 access logging.",,,,,20,
aws.appstream.fleet_default_internet_access_disabled:nan,appstream,,"boto3.client(""appstream"")",,no,,none,"The catalog rule requires AppStream fleets to have default internet access disabled, but none of the CIEM candidates monitor AppStream fleet configuration changes or internet access settings.",,,,,20,
aws.appsync.field_level_logging_enabled:nan,appsync,,"boto3.client(""appsync"")",,no,,none,No CIEM rule in the provided list detects AppSync field-level logging configuration changes or logging status events.,,,,,20,
aws.autoscaling.group.capacity_rebalance_enabled:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,,none,No CIEM rule in the provided list monitors Auto Scaling group capacity rebalance configuration changes or violations.,,,,,20,
aws.autoscaling.group.configured:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,,none,"The catalog rule is for Auto Scaling group configuration, but all CIEM candidates monitor IAM, CloudWatch, network security, storage, or threat correlation events unrelated to Auto Scaling operations.",,,,,13,
aws.autoscaling.group.health_check_enabled:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,,none,No CIEM rule in the list detects Auto Scaling group health check configuration changes or health check failures at the Auto Scaling service level.,,,,,20,
aws.autoscaling.group.multiple_az:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,,none,"The catalog rule is about Auto Scaling groups spanning multiple availability zones, but none of the provided CIEM candidates monitor Auto Scaling configuration or launch events.",,,,,5,
aws.backup.backup_vault.encrypted_at_rest_cmek,backup,dr,"boto3.client(""backup"")",,no,,none,"The catalog rule requires backup vault encryption at rest with CMEK, while all CIEM candidates detect backup/snapshot deletion, sharing, or creation events, not encryption configuration violations.",,,,,6,
aws.backup.plans_exist:aws.backup.backup_plan.exists,backup,,"boto3.client(""backup"")","iso27001_2022_multi_cloud_A.8.13_0068;iso27001_2022_multi_cloud_A.8.13_0068,iso27001_2022_multi_cloud_A.8.24_0080,pci_dss_v4_multi_cloud_3.5.1.3_0043,soc2_multi_cloud_a1_2_0025",yes,,none,"The catalog rule checks for the existence of AWS Backup plans (static configuration), while all CIEM candidates detect specific backup/snapshot modification or sharing events, not the absence of backup plans.",,,,,6,
s3.bucket.secure.transport.policy,bucket,security,"boto3.client(""bucket"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0028;hipaa_multi_cloud_164_312_e_1_0030;hipaa_multi_cloud_164_312_e_2_i_0031;hipaa_multi_cloud_164_312_e_2_ii_0032,yes,,none,"The catalog rule requires secure transport (HTTPS) enforcement via bucket policy, but all CIEM candidates detect bucket policy changes, public access modifications, or other S3 events rather than specifically detecting when secure transport is not enforced.",,,,,20,
acm.certificates.expiration.check,certificates,security,"boto3.client(""certificates"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;pci_dss_v4_multi_cloud_3.6.1.1_0045,yes,,none,"No CIEM rule detects certificate expiration events, as they monitor CloudTrail/logs for security actions rather than checking certificate validity periods.",,,,,20,
"acm.certificates.expiration.check,.elbv2.ssl.listeners,.elb.ssl.listeners,.cloudfront.distributions.using.deprecated.ssl.protocols",certificates,security,"boto3.client(""certificates"")",pci_dss_v4_multi_cloud_2.3.1_0027;pci_dss_v4_multi_cloud_2.3.2_0028,yes,,none,"No CIEM rule detects certificate expiration, deprecated SSL protocols, or SSL listener misconfigurations - these are static configuration issues requiring periodic assessment, not event-based detection.",,,,,20,
"acm.certificates.expiration.check,.s3.bucket.enforces.ssl,.elbv2.ssl.listeners,.opensearch.service.domains.node.to.node.encryption.enabled,.elb.ssl.listeners,.opensearch.service.domains.https.communications.enforced,.cloudfront.distributions.using.deprecated.ssl.protocols,.cloudfront.distributions.origin.traffic.encrypted,.vpc.flow.logs.enabled",certificates,security,"boto3.client(""certificates"")",pci_dss_v4_multi_cloud_4.1.1_0058;pci_dss_v4_multi_cloud_4.1.2_0059;pci_dss_v4_multi_cloud_4.1.4_0060,yes,,none,"The catalog rule requires VPC flow logs to be enabled (static configuration), while all CIEM candidates only detect traffic patterns or events after flow logs are already enabled.",,,,,20,
cloudwatch.changes.to.vpcs.alarm.configured,changes,security,"boto3.client(""changes"")",hipaa_multi_cloud_164_308_a_6_i_0015,yes,,none,"No CIEM rule detects changes to VPC alarm configurations, only creation/deletion of alarms or VPCs themselves.",,,,,20,
aws.cloudtrail.group.changes:aws.cloudtrail.trail.alert_destinations_configured,cloudtrail,,"boto3.client(""cloudtrail"")",cis_aws_aws_5.10_0059,yes,,none,"The catalog rule 'aws.cloudtrail.group.changes:aws.cloudtrail.trail.alert_destinations_configured' appears to monitor CloudTrail alert destination configuration, but none of the provided CIEM candidates specifically detect configuration or modification of CloudTrail alert destinations like SNS topic",,,,,18,
cloudtrail.cloudwatch.logging.enabled,cloudwatch,security,"boto3.client(""cloudwatch"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031,yes,,none,"The catalog rule requires CloudTrail logging to CloudWatch to be enabled (a configuration state), while all CIEM candidates detect specific CloudTrail events after logging is already configured, not the absence of the configuration itself.",,,,,20,
emr.cluster.master.nodes.no.public.ip,cluster,security,"boto3.client(""cluster"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_a_1_0022,yes,,none,"No CIEM rule detects EMR master node public IP assignment events, as all candidates cover EKS, ECS, Redshift, or RDS clusters instead of EMR.",,,,,20,
"rds.cluster.default.admin,.rds.instance.default.admin",cluster,security,"boto3.client(""cluster"")",pci_dss_v4_multi_cloud_2.1.1_0018;pci_dss_v4_multi_cloud_2.1.2_0019,yes,,none,"The catalog rule checks for default admin accounts in RDS clusters/instances, but none of the CIEM candidates monitor RDS admin account creation or default credential usage events.",,,,,20,
redshift.cluster.audit.logging,cluster,security,"boto3.client(""cluster"")",gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_ii_0032,yes,,none,"The catalog rule requires Redshift cluster audit logging configuration, but all CIEM candidates monitor EKS/ECS events or Redshift deletion/snapshot operations, not audit logging enablement/disablement events.",,,,,20,
redshift.cluster.automated.snapshot,cluster,security,"boto3.client(""cluster"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a_7_ii_b_0019;hipaa_multi_cloud_164_308_a_7_ii_c_0020;hipaa_multi_cloud_164_312_a_2_ii_0024,yes,,none,"No CIEM rule addresses automated snapshot configuration for Redshift clusters, which is a static configuration check rather than an event detection.",,,,,20,
aws.codeartifact.packages_external_public_publishing_disabled:nan,codeartifact,,"boto3.client(""codeartifact"")",,no,,none,"No CIEM candidate addresses CodeArtifact package publishing to external public repositories, as all listed rules focus on other AWS services (S3, EKS, Lambda, RDS, etc.) or different public access scenarios.",,,,,20,
aws.codebuild.group.export_encrypted:nan,codebuild,,"boto3.client(""codebuild"")",,no,,none,"The catalog rule 'aws.codebuild.group.export_encrypted' suggests a requirement for encrypted exports, but none of the CIEM candidates detect CodeBuild export encryption events or related violations.",,,,,10,
aws.codebuild.project_envvar_awscred_check:nan,codebuild,,"boto3.client(""codebuild"")",,no,,none,"No CIEM rule detects AWS credential environment variable exposure in CodeBuild projects, which is a static configuration issue requiring config scanning.",,,,,20,
aws.codebuild.project_logging_enabled:nan,codebuild,,"boto3.client(""codebuild"")",,no,,none,"No CIEM rule detects missing logging configuration in CodeBuild projects, as all candidates monitor runtime events rather than static configuration compliance.",,,,,20,
aws.codebuild.project_s3_logs_encrypted:nan,codebuild,,"boto3.client(""codebuild"")",,no,,none,"No CIEM rule detects encryption status changes for CodeBuild S3 logs, as the catalog rule checks static encryption configuration while all candidates monitor unrelated events like project creation, build execution, or S3/CloudTrail logging changes.",,,,,8,
aws.codebuild.project_source_repo_url_check:nan,codebuild,,"boto3.client(""codebuild"")",,no,,none,"The catalog rule 'aws.codebuild.project_source_repo_url_check' appears to check CodeBuild project source repository URL configuration, but none of the CIEM candidates detect violations of source repository URL settings or related security events.",,,,,20,
aws.control_tower.enrollment.all_accounts_enrolled_in_org,control_tower,governance,"boto3.client(""control_tower"")",,no,,none,"No CIEM rule detects the static compliance state of all accounts being enrolled in AWS Control Tower, as the catalog rule checks for a configuration state while the CIEM rules only detect organizational management events.",,,,,20,
aws.control_tower.enrollment.restrict_region_usage_by_policy_where_required,control_tower,governance,"boto3.client(""control_tower"")",,no,,none,"The catalog rule is about AWS Control Tower region restriction policies, while all CIEM candidates detect general IAM policy events, S3 policies, or resource policies for other services, not Control Tower enrollment or region restriction policy violations.",,,,,20,
aws.control_tower.enrollment.scps_enabled,control_tower,governance,"boto3.client(""control_tower"")",,no,,none,No CIEM rule detects SCP (Service Control Policy) enablement or disablement events for AWS Control Tower enrollment.,,,,,20,
aws.control_tower.landing_zone.all_accounts_enrolled_in_org,control_tower,governance,"boto3.client(""control_tower"")",,no,,none,"The catalog rule checks for static enrollment of all accounts in AWS Organizations, while all CIEM candidates detect specific organizational events or other security incidents, not the compliance state of account enrollment.",,,,,20,
aws.control_tower.landing_zone.restrict_region_usage_by_policy_where_required,control_tower,governance,"boto3.client(""control_tower"")",,no,,none,"None of the CIEM rules detect region restriction policy violations, as they focus on IAM policy management, S3 public access, or cross-account resource policies rather than detecting events where region usage policies are bypassed or violated.",,,,,20,
aws.control_tower.landing_zone.scps_enabled,control_tower,governance,"boto3.client(""control_tower"")",,no,,none,"No CIEM rule in the provided list detects Control Tower SCP enablement or governance events, as all candidates focus on data security, network security, ALB logs, or IAM anomalies unrelated to AWS Control Tower service control policies.",,,,,20,
aws.cost_explorer.anomaly_detector.alert_destinations_configured,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,"No CIEM rule detects missing Cost Explorer anomaly detector alert destinations as all candidates monitor unrelated security events like GuardDuty modifications, ALB attacks, or IAM anomalies.",,,,,20,
aws.cost_explorer.anomaly_detector.detectors_enabled,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,No CIEM rule in the provided list detects Cost Explorer anomaly detector configuration changes or cost anomaly events.,,,,,20,
aws.cost_explorer.anomaly_detector.severity_thresholds_configured,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,No CIEM rule detects Cost Explorer anomaly detector configuration events or threshold violations.,,,,,20,
aws.cost_explorer.cost_allocation_tag.cost_tag_policy_enforced,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,"The catalog rule is about AWS Cost Explorer cost allocation tag policy enforcement, while all CIEM candidates focus on IAM policy, resource policy, or GuardDuty findings unrelated to cost management controls.",,,,,20,
aws.cost_explorer.cost_allocation_tag.required_cost_tags_present,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,"The catalog rule checks for required cost allocation tags in AWS Cost Explorer, while all CIEM candidates monitor security events like attacks, access patterns, or administrative actions, not cost management tag compliance.",,,,,20,
aws.cost_explorer.cost_allocation_tag.untagged_resource_alerts_enabled,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,No CIEM rule in the provided list detects cost allocation tag configuration or untagged resource alerts in AWS Cost Explorer.,,,,,20,
aws.cost_explorer.cost_category.billing_console_rbac_least_privilege,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,No CIEM rule addresses AWS Cost Explorer billing console RBAC least privilege configuration violations.,,,,,20,
aws.cost_explorer.cost_category.cost_data_exports_private_and_encrypted,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,No CIEM rule addresses AWS Cost Explorer cost category data export encryption or private access configuration events.,,,,,20,
aws.cost_explorer.cost_category.cost_export_destinations_least_privilege,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,,none,No CIEM rule addresses AWS Cost Explorer cost category export destination permissions or detects misconfigured cost export destinations.,,,,,20,
aws.datasync.task_logging_enabled:nan,datasync,,"boto3.client(""datasync"")",,no,,none,No CIEM rule in the provided list monitors AWS DataSync task logging configuration or detects when DataSync task logging is disabled.,,,,,20,
elbv2.deletion.protection,deletion,security,"boto3.client(""deletion"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002,yes,,none,"No CIEM candidate specifically detects deletion protection being disabled or bypassed for ELBv2 load balancers, which is the security control required by the catalog rule.",,,,,6,
aws.directoryservice.directory_log_forwarding_enabled:nan,directoryservice,,"boto3.client(""directoryservice"")",,no,,none,No CIEM rule in the provided list detects AWS Directory Service log forwarding configuration or related events.,,,,,20,
aws.directoryservice.supported_mfa_radius_enabled:nan,directoryservice,,"boto3.client(""directoryservice"")",,no,,none,"The catalog rule requires RADIUS-supported MFA for Directory Service, but all CIEM candidates monitor IAM MFA events or console logins, not Directory Service RADIUS configuration changes.",,,,,20,
cloudfront.distributions.logging.enabled,distributions,security,"boto3.client(""distributions"")",pci_dss_v4_multi_cloud_10.2.1.6_0149,yes,,none,No CIEM rule detects CloudFront distribution logging configuration changes or missing logging events.,,,,,20,
aws.dms.endpoint_redis_in_transit_encryption_enabled:nan,dms,,"boto3.client(""dms"")",,no,,none,No CIEM rule directly detects DMS Redis endpoint encryption being disabled or downgraded in transit.,,,,,20,
aws.dms.instance.multi_az_enabled:nan,dms,,"boto3.client(""dms"")",,no,,none,No CIEM rule in the provided list detects DMS instance Multi-AZ configuration changes or violations.,,,,,20,
aws.dms.replication_task_source_logging_enabled:nan,dms,,"boto3.client(""dms"")",,no,,none,No CIEM rule in the provided list detects DMS replication task source logging configuration or related events.,,,,,20,
aws.dms.replication_task_target_logging_enabled:nan,dms,,"boto3.client(""dms"")",,no,,none,"No CIEM candidate detects DMS replication task target logging configuration or events, as the catalog rule checks for static logging configuration while all candidates monitor unrelated services like Lambda, S3, CloudTrail, ALB, CloudFront, ECS, Route53, and EKS.",,,,,20,
aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled,documentdb,,"boto3.client(""documentdb"")",,no,,none,"No CIEM rule in the list specifically detects DocumentDB encryption-at-rest being disabled or modified, as all encryption-related rules focus on other services like S3, EKS, or general correlation patterns not tied to DocumentDB events.",,,,,20,
