rule_id,source_category,service,severity,check_type,title,description,threat_category,aws_mapped_compliance_ids,compliance_frameworks_list,source_file
aws.dns.query_log.dynamic_dns_provider,dns,dns,medium,log,Route53: Dynamic DNS Provider,Dynamic DNS provider queried — commonly abused for fast-flux C2 infrastructure.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,dns/aws.dns.query_log.dynamic_dns_provider.yaml
aws.dns.query_log.file_sharing_domain,dns,dns,medium,log,Route53: File Sharing Domain,File sharing domain queried — data may be exfiltrated via web service.,data_exfiltration,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_27001_2022_A.8.20;iso_27001_2022_A.5.14,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,dns/aws.dns.query_log.file_sharing_domain.yaml
aws.dns.query_log.mx_record_lookup,dns,dns,low,log,Route53: Mx Record Lookup,MX DNS record lookup — mail server discovery.,discovery,,,dns/aws.dns.query_log.mx_record_lookup.yaml
aws.dns.query_log.ngrok_tunnel,dns,dns,high,log,Route53: Ngrok Tunnel,Ngrok tunnel domain queried — protocol tunnel for C2 or data exfiltration via ngrok.io.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,dns/aws.dns.query_log.ngrok_tunnel.yaml
aws.dns.query_log.pastebin_access,dns,dns,medium,log,Route53: Pastebin Access,Pastebin.com DNS query — possible use for C2 instructions or data staging.,data_exfiltration,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_27001_2022_A.8.20;iso_27001_2022_A.5.14,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,dns/aws.dns.query_log.pastebin_access.yaml
aws.dns.query_log.reverse_lookup,dns,dns,low,log,Route53: Reverse Lookup,DNS reverse lookup (PTR record) — network reconnaissance activity.,discovery,,,dns/aws.dns.query_log.reverse_lookup.yaml
aws.dns.query_log.tor_exit_node,dns,dns,high,log,Route53: Tor Exit Node,Tor exit node DNS query — connection via anonymizing network detected.,initial_access,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,dns/aws.dns.query_log.tor_exit_node.yaml
aws.dns.query_log.tunneling_long_subdomain,dns,dns,high,log,Route53: Tunneling Long Subdomain,Long subdomain in DNS query — DNS tunneling pattern detected.,data_exfiltration,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_27001_2022_A.8.20;iso_27001_2022_A.5.14,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,dns/aws.dns.query_log.tunneling_long_subdomain.yaml
aws.eks.audit_log.audit.clusterrole_create,eks,eks,high,log,EKS: Clusterrole Create,Kubernetes ClusterRole created — cluster-wide container cluster permissions defined.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.clusterrole_create.yaml
aws.eks.audit_log.audit.clusterrolebinding_create,eks,eks,critical,log,EKS: Clusterrolebinding Create,Kubernetes ClusterRoleBinding created — cluster-wide container cluster role assigned to subject.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.clusterrolebinding_create.yaml
aws.eks.audit_log.audit.configmap_modify,eks,eks,medium,log,EKS: Configmap Modify,Kubernetes ConfigMap modified — application configuration changed.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.configmap_modify.yaml
aws.eks.audit_log.audit.crd_create,eks,eks,medium,log,EKS: Crd Create,Kubernetes CRD created — custom resource type added to cluster.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.crd_create.yaml
aws.eks.audit_log.audit.daemonset_create,eks,eks,high,log,EKS: Daemonset Create,Kubernetes DaemonSet created — workload scheduled on every node.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.daemonset_create.yaml
aws.eks.audit_log.audit.deployment_create,eks,eks,medium,log,EKS: Deployment Create,Kubernetes Deployment created — new workload deployed to cluster.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.deployment_create.yaml
aws.eks.audit_log.audit.namespace_create,eks,eks,low,log,EKS: Namespace Create,Kubernetes namespace created — new isolated environment provisioned.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.namespace_create.yaml
aws.eks.audit_log.audit.namespace_delete,eks,eks,high,log,EKS: Namespace Delete,Kubernetes namespace deleted — all resources in namespace destroyed.,data_destruction,cis_aws_v3_2.1;cis_aws_v3_2.6;cis_aws_v3_3.1;cis_azure_v2_3.1;cis_azure_v2_7.5;nist_800_53_r5_CP-9;nist_800_53_r5_CP-10;nist_800_53_r5_SI-12;pci_dss_v4_3.2;pci_dss_v4_3.3;pci_dss_v4_12.3;iso_27001_2022_A.8.13;iso_27001_2022_A.8.14;iso_27001_2022_A.5.33,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.namespace_delete.yaml
aws.eks.audit_log.audit.networkpolicy_modify,eks,eks,medium,log,EKS: Networkpolicy Modify,Kubernetes NetworkPolicy modified — pod-to-pod network access controls changed.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.networkpolicy_modify.yaml
aws.eks.audit_log.audit.pod_attach,eks,eks,high,log,EKS: Pod Attach,kubectl attach to pod — interactive session attached to running container process.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.pod_attach.yaml
aws.eks.audit_log.audit.pod_delete,eks,eks,medium,log,EKS: Pod Delete,Kubernetes pod deleted — container workload terminated.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.pod_delete.yaml
aws.eks.audit_log.audit.pod_exec,eks,eks,high,log,EKS: Pod Exec,kubectl exec in pod detected — direct shell access via Kubernetes container CLI.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.pod_exec.yaml
aws.eks.audit_log.audit.pod_portforward,eks,eks,high,log,EKS: Pod Portforward,kubectl port-forward — local port tunneled to pod; lateral access established.,lateral_movement,cis_aws_v3_5.1;cis_aws_v3_5.2;cis_aws_v3_5.3;cis_azure_v2_6.1;cis_azure_v2_6.2;nist_800_53_r5_SC-7;nist_800_53_r5_AC-4;nist_800_53_r5_SI-3;pci_dss_v4_1.2;pci_dss_v4_1.3;pci_dss_v4_7.2;iso_27001_2022_A.8.20;iso_27001_2022_A.8.22;iso_27001_2022_A.5.14,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.pod_portforward.yaml
aws.eks.audit_log.audit.role_binding_modify,eks,eks,high,log,EKS: Role Binding Modify,Kubernetes RoleBinding modified — container cluster permissions changed.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.role_binding_modify.yaml
aws.eks.audit_log.audit.secret_create,eks,eks,medium,log,EKS: Secret Create,Kubernetes Secret created — credential data stored in cluster.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.secret_create.yaml
aws.eks.audit_log.audit.secret_delete,eks,eks,medium,log,EKS: Secret Delete,Kubernetes Secret deleted — credential data removed from cluster.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.secret_delete.yaml
aws.eks.audit_log.audit.secret_list,eks,eks,medium,log,EKS: Secret List,Kubernetes Secrets listed via container API — credential enumeration in cluster.,credential_access,cis_aws_v3_1.14;cis_aws_v3_1.19;cis_aws_v3_2.1;cis_azure_v2_1.3;cis_azure_v2_1.4;cis_azure_v2_8.1;nist_800_53_r5_IA-5;nist_800_53_r5_IA-8;nist_800_53_r5_SC-28;pci_dss_v4_8.2;pci_dss_v4_8.3;pci_dss_v4_8.6;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4;iso_27001_2022_A.9.2,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.secret_list.yaml
aws.eks.audit_log.audit.serviceaccount_create,eks,eks,medium,log,EKS: Serviceaccount Create,Kubernetes ServiceAccount created — container cluster workload identity provisioned.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.serviceaccount_create.yaml
aws.eks.audit_log.audit.webhook_modify,eks,eks,high,log,EKS: Webhook Modify,Kubernetes admission webhook modified — API request interception changed; may bypass security controls.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,eks/aws.eks.audit_log.audit.webhook_modify.yaml
aws.guardduty.finding.backdoor_activity,guardduty,guardduty,critical,log,GuardDuty: Backdoor Activity,GuardDuty detected backdoor activity — malware or implant communicating.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.backdoor_activity.yaml
aws.guardduty.finding.brute_force,guardduty,guardduty,high,log,GuardDuty: Brute Force,Brute-force pattern detected against console login — repeated authentication failures.,initial_access,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.brute_force.yaml
aws.guardduty.finding.credential_exfiltration,guardduty,guardduty,critical,log,GuardDuty: Credential Exfiltration,GuardDuty detected credential exfiltration — credentials stolen and transmitted.,credential_access,cis_aws_v3_1.14;cis_aws_v3_1.19;cis_aws_v3_2.1;cis_azure_v2_1.3;cis_azure_v2_1.4;cis_azure_v2_8.1;nist_800_53_r5_IA-5;nist_800_53_r5_IA-8;nist_800_53_r5_SC-28;pci_dss_v4_8.2;pci_dss_v4_8.3;pci_dss_v4_8.6;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4;iso_27001_2022_A.9.2,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.credential_exfiltration.yaml
aws.guardduty.finding.critical_finding,guardduty,guardduty,critical,log,GuardDuty: Critical Finding,GuardDuty critical severity finding detected — high-confidence threat behavior identified.,threat_detection,,,guardduty/aws.guardduty.finding.critical_finding.yaml
aws.guardduty.finding.crypto_mining,guardduty,guardduty,high,log,GuardDuty: Crypto Mining,GuardDuty detected cryptocurrency mining activity — compute resources abused.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.crypto_mining.yaml
aws.guardduty.finding.data_exfiltration,guardduty,guardduty,critical,log,GuardDuty: Data Exfiltration,GuardDuty detected data exfiltration — sensitive data leaving account.,data_exfiltration,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_27001_2022_A.8.20;iso_27001_2022_A.5.14,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.data_exfiltration.yaml
aws.guardduty.finding.low_finding,guardduty,guardduty,low,log,GuardDuty: Low Finding,GuardDuty low severity finding detected.,threat_detection,,,guardduty/aws.guardduty.finding.low_finding.yaml
aws.guardduty.finding.medium_finding,guardduty,guardduty,medium,log,GuardDuty: Medium Finding,GuardDuty medium severity finding detected.,threat_detection,,,guardduty/aws.guardduty.finding.medium_finding.yaml
aws.guardduty.finding.recon_activity,guardduty,guardduty,medium,log,GuardDuty: Recon Activity,GuardDuty detected reconnaissance activity — environment being probed.,discovery,,,guardduty/aws.guardduty.finding.recon_activity.yaml
aws.guardduty.finding.trojan_activity,guardduty,guardduty,critical,log,GuardDuty: Trojan Activity,GuardDuty detected trojan activity — malware executing in environment.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.trojan_activity.yaml
aws.guardduty.finding.unauthorized_access,guardduty,guardduty,high,log,GuardDuty: Unauthorized Access,GuardDuty detected unauthorized access — activity from unexpected source.,initial_access,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,guardduty/aws.guardduty.finding.unauthorized_access.yaml
aws.guardduty.finding.unusual_api,guardduty,guardduty,medium,log,GuardDuty: Unusual API,GuardDuty detected unusual API activity — anomalous API call pattern.,discovery,,,guardduty/aws.guardduty.finding.unusual_api.yaml
aws.iam.cloudtrail.archive_access_analyzer_finding,iam,iam,medium,log,IAM: Archive Access Analyzer Finding,Access Analyzer finding archived — suppresses visibility into external access.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,iam/aws.iam.cloudtrail.archive_access_analyzer_finding.yaml
aws.iam.cloudtrail.attach_group_policy,iam,iam,high,log,IAM: Attach Group Policy,Managed policy attached to IAM group — all group members inherit new permissions.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,iam/aws.iam.cloudtrail.attach_group_policy.yaml
aws.iam.cloudtrail.attach_user_policy,iam,iam,high,log,IAM: Attach User Policy,Managed policy directly attached to IAM user — may grant over-privileged access.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,iam/aws.iam.cloudtrail.attach_user_policy.yaml
aws.iam.cloudtrail.create_policy_version,iam,iam,medium,log,IAM: Create Policy Version,New version of existing IAM policy created — may expand permissions.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,iam/aws.iam.cloudtrail.create_policy_version.yaml
aws.iam.cloudtrail.delete_access_analyzer,iam,iam,high,log,IAM: Delete Access Analyzer,IAM Access Analyzer deleted — external access detection capability removed.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,iam/aws.iam.cloudtrail.delete_access_analyzer.yaml
aws.iam.cloudtrail.delete_access_key,iam,iam,medium,log,IAM: Delete Access Key,IAM access key deleted.,credential_access,cis_aws_v3_1.14;cis_aws_v3_1.19;cis_aws_v3_2.1;cis_azure_v2_1.3;cis_azure_v2_1.4;cis_azure_v2_8.1;nist_800_53_r5_IA-5;nist_800_53_r5_IA-8;nist_800_53_r5_SC-28;pci_dss_v4_8.2;pci_dss_v4_8.3;pci_dss_v4_8.6;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4;iso_27001_2022_A.9.2,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,iam/aws.iam.cloudtrail.delete_access_key.yaml
