rule_id,csp,service,resource,attribute,frameworks,framework_count,control_count,mapped_controls,suggested_intent
alicloud.actiontrail.trail.oss_bucket_name,alicloud,actiontrail,trail,oss_bucket_name,CIS,1,1,CIS/2.3.1,(refined)
alicloud.actiontrail.trail.trail_exists,alicloud,actiontrail,trail,trail_exists,CIS,1,1,CIS/2.1.2,(refined)
alicloud.actiontrail.trail.trail_logging_enabled,alicloud,actiontrail,trail,trail_logging_enabled,CIS,1,1,CIS/2.14,(refined)
alicloud.cms.alarm.contact_groups,alicloud,cms,alarm,contact_groups,CANADA_PBMM,1,1,CANADA_PBMM/SI-4(5),Check that CloudMonitor alarms for security events have notification contact groups configured.
alicloud.cms.event_rule.contact_group_configured,alicloud,cms,event_rule,contact_group_configured,CIS,1,1,CIS/4.15,(refined)
alicloud.cs.cluster.authorization_modeverifiesconfigexistsbutnottestingexecution,alicloud,cs,cluster,authorization_modeverifiesconfigexistsbutnottestingexecution,CIS,1,1,CIS/3.2.2,(refined)
alicloud.cs.cluster.namespace_default,alicloud,cs,cluster,namespace_default,CIS,1,1,CIS/4.6.4,(refined)
alicloud.cs.cluster.node_pool,alicloud,cs,cluster,node_pool,CIS,1,1,CIS/3.1.3,PARTIAL: alicloud.cs.cluster.node_pool ||| verifies node pool configuration but not direct file permissions on underlying host
alicloud.cs.cluster.rbac_enabled,alicloud,cs,cluster,rbac_enabled,CIS,1,1,CIS/5.8.2,PARTIAL: alicloud.cs.cluster.rbac_enabled ||| verifies RBAC is enabled but not specific RAM group integration
alicloud.cs.kubernetes.cluster.pod_security_policy,alicloud,cs,kubernetes,cluster.pod_security_policy,CIS_ALICLOUD,1,1,CIS_ALICLOUD/5.2.2,check that pod security policies restrict sharing the host PID namespace
alicloud.cs.kubernetes.node_pool.pki_key_permissions,alicloud,cs,kubernetes,node_pool.pki_key_permissions,CIS_ALICLOUD,1,1,CIS_ALICLOUD/1.1.21,Check that Kubernetes node pool PKI key file permissions are set to 600
alicloud.cs.kubernetes.pod_security_policy.allow_privilege_escalation,alicloud,cs,kubernetes,pod_security_policy.allow_privilege_escalation,CIS_ALICLOUD,1,1,CIS_ALICLOUD/5.2.5,Check that Pod Security Policies or equivalent enforce allowPrivilegeEscalation=false.
alicloud.cs.namespace.default_not_used,alicloud,cs,namespace,default_not_used,CIS_ALICLOUD,1,1,CIS_ALICLOUD/5.6.4,Check that the default namespace is not used for Container Service clusters.
alicloud.cs.network_policy_enabled,alicloud,cs,network_policy_enabled,,CIS,1,1,CIS/4.3.2,PARTIAL: alicloud.cs.network_policy_enabled ||| verifies cluster-level Terway/Flannel configuration but not namespace-specific policies
alicloud.cs.node_pool.kubelet_config_ownership,alicloud,cs,node_pool,kubelet_config_ownership,CIS,1,1,CIS/3.1.4,(refined)
alicloud.cs.node_pool.kubelet_config_permissions,alicloud,cs,node_pool,kubelet_config_permissions,CIS,1,1,CIS/3.1.3,(refined)
alicloud.cs.pod.security_context,alicloud,cs,pod,security_context,CIS,1,1,CIS/4.6.3,(refined)
alicloud.ecs.auto_provisioning_group.multi_zone,alicloud,ecs,auto_provisioning_group,multi_zone,CANADA_PBMM,1,1,CANADA_PBMM/CP-8(1),Check that Alibaba Cloud ECS auto provisioning groups are configured across multiple zones for redundancy.
alicloud.ecs.auto_provisioning_groups.strategy,alicloud,ecs,auto_provisioning_groups,strategy,CANADA_PBMM,1,1,CANADA_PBMM/CP-8(3),Ensure Auto Provisioning Groups use multi-zone strategies for failover.
alicloud.ecs.config_file.permissions,alicloud,ecs,config_file,permissions,CIS,1,1,CIS/1.4.3,(refined)
alicloud.ecs.disk.delete_with_instance,alicloud,ecs,disk,delete_with_instance,NIST_800_171,1,1,NIST_800_171/3.8.3,PARTIAL: alicloud.ecs.disk.delete_with_instance ||| verifies config exists for system disks but not for all storage types or procedural wipe execution
alicloud.ecs.disk.encryption_at_rest,alicloud,ecs,disk,encryption_at_rest,NIST_800_171,1,1,NIST_800_171/3.8.1,Check that ECS disks storing CUI are encrypted at rest.; (refined)
alicloud.ecs.disk.encryption_enabled,alicloud,ecs,disk,encryption_enabled,CANADA_PBMM,1,1,CANADA_PBMM/SC-8(1),Check that new system and data disks are encrypted.
alicloud.ecs.disk.encryption_state,alicloud,ecs,disk,encryption_state,CANADA_PBMM,1,1,CANADA_PBMM/SC-28(1),Check that new system disks for ECS instances are encrypted.
alicloud.ecs.disk.snapshot_policy_configured,alicloud,ecs,disk,snapshot_policy_configured,CIS,1,1,CIS/6.1,(refined)
alicloud.ecs.image.baseline_approved,alicloud,ecs,image,baseline_approved,CANADA_PBMM,1,1,CANADA_PBMM/CM-2(7),Check that ECS instance images are from an approved baseline.; (refined)
alicloud.ecs.image.encrypted_system_disk,alicloud,ecs,image,encrypted_system_disk,CANADA_PBMM,1,1,CANADA_PBMM/SA-10(1),PARTIAL: alicloud.ecs.image.encrypted_system_disk ||| verifies system disk encryption as integrity proxy but not full developer CM process
alicloud.ecs.instance.auto_snapshot,alicloud,ecs,instance,auto_snapshot,CANADA_PBMM,1,1,CANADA_PBMM/CP-2(8),PARTIAL: alicloud.ecs.instance.auto_snapshot ||| verifies automatic snapshot policy but not contingency plan activation
alicloud.ecs.instance.baseline_image,alicloud,ecs,instance,baseline_image,CANADA_PBMM,1,1,CANADA_PBMM/CM-2(1),Check that ECS instances are created from an approved baseline image.; (refined)
alicloud.ecs.instance.cloud_assistant,alicloud,ecs,instance,cloud_assistant,CANADA_PBMM,1,1,CANADA_PBMM/SI-2(2),"PARTIAL: alicloud.ecs.instance.cloud_assistant ||| verifies Cloud Assistant agent is installed for patch operations, but not patch assessment status"
alicloud.ecs.instance.cloud_assistant_status,alicloud,ecs,instance,cloud_assistant_status,CANADA_PBMM,1,1,CANADA_PBMM/SI-3(7),"PARTIAL: alicloud.ecs.instance.cloud_assistant_status ||| verifies the Cloud Assistant agent is installed for command delivery, but does not confirm specific s"
alicloud.ecs.instance.cloud_monitor_agent,alicloud,ecs,instance,cloud_monitor_agent,CANADA_PBMM,1,1,CANADA_PBMM/SI-3(2),PARTIAL: alicloud.ecs.instance.cloud_monitor_agent ||| verifies Cloud Monitor Agent is installed for potential third-party AV integration but not the AV state
alicloud.ecs.instance.delete_protection,alicloud,ecs,instance,delete_protection,CANADA_PBMM,1,1,CANADA_PBMM/CP-2(6),Check ECS instances have deletion protection enabled
alicloud.ecs.instance.guest_config,alicloud,ecs,instance,guest_config,PCI_DSS,1,1,PCI_DSS/10.6.1,PARTIAL: alicloud.ecs.instance.guest_config ||| verifies guest OS config recommendation exists but not its execution or state
alicloud.ecs.instance.image_baseline,alicloud,ecs,instance,image_baseline,CANADA_PBMM,1,1,CANADA_PBMM/CM-2(3),Check that ECS instances are launched from an approved baseline image.
alicloud.ecs.instance.image_scan,alicloud,ecs,instance,image_scan,NIST_800_171,1,1,NIST_800_171/3.14.5,PARTIAL: alicloud.ecs.instance.image_scan ||| verifies config exists for official marketplace images but not custom images or real-time file scanning
alicloud.ecs.instance.maintenance_behavior,alicloud,ecs,instance,maintenance_behavior,CANADA_PBMM,1,1,CANADA_PBMM/MA-4(2),(refined)
alicloud.ecs.instance.maintenance_window,alicloud,ecs,instance,maintenance_window,CANADA_PBMM,1,1,CANADA_PBMM/MA-4(3),"PARTIAL: alicloud.ecs.instance.maintenance_window ||| verifies customer-configured maintenance window for ECS, but nonlocal execution is managed by Alibaba Clo"
alicloud.ecs.instance.patch_management,alicloud,ecs,instance,patch_management,CANADA_PBMM,1,1,CANADA_PBMM/SI-2(3),(refined)
alicloud.ecs.instance.recovery_setting,alicloud,ecs,instance,recovery_setting,CANADA_PBMM,1,1,CANADA_PBMM/CP-2(4),Check ECS instances have release protection enabled or are in a scaling group.
alicloud.ecs.instance.required_image,alicloud,ecs,instance,required_image,CANADA_PBMM,1,1,CANADA_PBMM/CM-7(5),Ensure ECS instances are created from approved images only.
alicloud.ecs.instance.required_tags,alicloud,ecs,instance,required_tags,CANADA_PBMM,1,1,CANADA_PBMM/CM-6(1),Check that ECS instances have required tags for configuration management.
alicloud.ecs.instance.secure_boot_enabled,alicloud,ecs,instance,secure_boot_enabled,CIS,1,1,CIS/3.2,(refined)
alicloud.ecs.instance.security_agent,alicloud,ecs,instance,security_agent,PCI_DSS,1,1,PCI_DSS/5.2.1,"PARTIAL: alicloud.ecs.instance.security_agent ||| verifies the installation status of the Cloud Security Center agent, which provides anti-malware capabilities"
alicloud.ecs.instance.security_center_linked,alicloud,ecs,instance,security_center_linked,CANADA_PBMM,1,1,CANADA_PBMM/SI-3(1),PARTIAL: alicloud.ecs.instance.security_center_linked ||| verifies integration with security service but not active protection
alicloud.ecs.instance.system_disk_encryption,alicloud,ecs,instance,system_disk_encryption,CANADA_PBMM,1,1,CANADA_PBMM/CA-8(1),Check that ECS instances have encrypted system disks.
alicloud.ecs.snapshot.encryption.state,alicloud,ecs,snapshot,encryption.state,CANADA_PBMM,1,1,CANADA_PBMM/CP-10(4),Check that Alibaba Cloud ECS snapshots are encrypted.
alicloud.ecs.snapshot.snapshot_policy,alicloud,ecs,snapshot,snapshot_policy,CANADA_PBMM,1,1,CANADA_PBMM/CP-9(1),Check ECS snapshot policy is configured for automatic system backup.; (refined)
alicloud.ecs.snapshot_policy.auto_snapshot_policy,alicloud,ecs,snapshot_policy,auto_snapshot_policy,CANADA_PBMM,1,1,CANADA_PBMM/CP-9(3),Check Alibaba Cloud ECS auto snapshot policy is configured for system backup.
alicloud.fc.function.ram_role_least_privilege,alicloud,fc,function,ram_role_least_privilege,CIS,1,1,CIS/12.4,(refined)
alicloud.function.secrets_in_kms_configured,alicloud,function,secrets_in_kms_configured,,CIS,1,1,CIS/12.3,(refined)
alicloud.iam.role.least_privilege,alicloud,iam,role,least_privilege,CIS,1,1,CIS/4.1.1,(refined)
alicloud.iam.user.last_login_time,alicloud,iam,user,last_login_time,CIS_ALICLOUD,1,1,CIS_ALICLOUD/1.5,Check that IAM users with console access have logged in within the last 90 days.
alicloud.kms.key.key_manager,alicloud,kms,key,key_manager,NIST_800_171,1,1,NIST_800_171/3.13.10,Check that each KMS key has an authorized key manager (RAM user/role) configured.
alicloud.kms.secret.expiration_set,alicloud,kms,secret,expiration_set,CIS,1,1,CIS/5.4.2,(refined)
alicloud.kms.secret.permissions,alicloud,kms,secret,permissions,CIS,1,1,CIS/1.4.3,(refined)
alicloud.kms.secret.rotation_enabled,alicloud,kms,secret,rotation_enabled,CIS,1,1,CIS/5.4.2,(refined)
alicloud.kubernetes.cluster.admin_access_least_privilege,alicloud,kubernetes,cluster,admin_access_least_privilege,CIS,1,1,CIS/4.1.1,(refined)
alicloud.log.project.retention_period,alicloud,log,project,retention_period,CANADA_PBMM,1,1,CANADA_PBMM/AU-8(1),Ensure Log Service projects have retention periods set to meet timestamp integrity requirements.
alicloud.log_service.project.kubernetes_audit,alicloud,log_service,project,kubernetes_audit,CIS,1,1,CIS/2.2.1,(refined)
alicloud.nas.file_system.encryption,alicloud,nas,file_system,encryption,CIS,1,1,CIS/5.3.1,(refined)
alicloud.oss.backup.bucket_configured,alicloud,oss,backup,bucket_configured,SOC2,1,1,SOC2/A1.3,PARTIAL: alicloud.oss.backup.bucket_configured ||| verifies backup storage target exists but not testing execution
alicloud.oss.bucket.anonymous_auth_disabled,alicloud,oss,bucket,anonymous_auth_disabled,CIS,1,1,CIS/3.2.1,(refined)
alicloud.oss.bucket.cross.account.replication.disabled,alicloud,oss,bucket,cross.account.replication.disabled,CIS,1,1,CIS/9.3.7,(refined)
alicloud.oss.bucket.https_required,alicloud,oss,bucket,https_required,CIS,1,1,CIS/10.3,(refined)
alicloud.oss.bucket.kms_encryption,alicloud,oss,bucket,kms_encryption,CIS,1,1,CIS/5.3.1,(refined)
alicloud.oss.bucket.policy.sas.linked.to.stored.access.policy,alicloud,oss,bucket,policy.sas.linked.to.stored.access.policy,CIS,1,1,CIS/11.4,(refined)
alicloud.oss.bucket.secure_transport,alicloud,oss,bucket,secure_transport,NIST_800_171,1,1,NIST_800_171/3.8.6,Check OSS bucket policies enforce secure transport.
alicloud.oss.bucket.sts_token_expiry,alicloud,oss,bucket,sts_token_expiry,CIS,1,1,CIS/11.2,(refined)
alicloud.oss.bucket.temporary_token_expiry,alicloud,oss,bucket,temporary_token_expiry,CIS,1,1,CIS/17.1.4,(refined)
alicloud.oss.bucket.versioning,alicloud,oss,bucket,versioning,CANADA_PBMM,1,1,CANADA_PBMM/CP-9(7),Check Alibaba Cloud OSS bucket has versioning enabled for backup capability.
alicloud.oss.bucket.versioning.enabled,alicloud,oss,bucket,versioning.enabled,SOC2,1,1,SOC2/PI1.5,Check that OSS buckets have versioning enabled to store items completely.
alicloud.oss.buckets.https_only,alicloud,oss,buckets,https_only,CIS,1,1,CIS/16.1,(refined)
alicloud.oss.presigned.stored.policy,alicloud,oss,presigned,stored.policy,CIS,1,1,CIS/18.2,(refined)
alicloud.oss.sts_token.allowed_protocols_https_only,alicloud,oss,sts_token,allowed_protocols_https_only,CIS,1,1,CIS/2.1.1.1,(refined)
alicloud.ram.account.password_policy.minimum_length,alicloud,ram,account,password_policy.minimum_length,CANADA_PBMM,1,1,CANADA_PBMM/AC-2(10),Ensure RAM password policy enforces a minimum password length of 8 or greater.
alicloud.ram.anonymous_auth_disabled,alicloud,ram,anonymous_auth_disabled,,CIS,1,1,CIS/3.2.1,(refined)
alicloud.ram.group.restrict_user_access_features,alicloud,ram,group,restrict_user_access_features,CIS,1,1,CIS/5.18,(refined)
alicloud.ram.notification.group_mapping_configured,alicloud,ram,notification,group_mapping_configured,CIS,1,1,CIS/4.4,(refined)
alicloud.ram.password_policy.hide_feedback,alicloud,ram,password_policy,hide_feedback,NIST_800_171,1,1,NIST_800_171/3.5.11,(refined)
alicloud.ram.password_policy.login_attempt_limit,alicloud,ram,password_policy,login_attempt_limit,NIST_800_171,1,1,NIST_800_171/3.1.8,PARTIAL: alicloud.ram.password_policy.login_attempt_limit ||| verifies config exists but not testing execution
alicloud.ram.password_policy.max_password_age,alicloud,ram,password_policy,max_password_age,CIS,1,1,CIS/1.5,(refined)
alicloud.ram.password_policy_reuse_prevention,alicloud,ram,password_policy_reuse_prevention,,CIS,1,1,CIS/1.6,(refined)
alicloud.ram.policy,alicloud,ram,policy,,NIST_800_171,1,1,NIST_800_171/3.4.4,Check that RAM policies or resource directory controls enforce change approval.
alicloud.ram.policy.attached,alicloud,ram,policy,attached,CIS,1,1,CIS/2.3.1,(refined)
alicloud.ram.policy.condition,alicloud,ram,policy,condition,CANADA_PBMM,1,1,CANADA_PBMM/MA-4(1),(refined)
alicloud.ram.policy.condition_ip,alicloud,ram,policy,condition_ip,CANADA_PBMM,1,1,CANADA_PBMM/MA-4(6),(refined)
alicloud.ram.policy.external_principal,alicloud,ram,policy,external_principal,CANADA_PBMM,1,1,CANADA_PBMM/SA-9(1),Check RAM policies for principals from external Alibaba Cloud accounts.
alicloud.ram.policy.external_principals,alicloud,ram,policy,external_principals,CANADA_PBMM,1,1,CANADA_PBMM/SA-9(4),Check RAM policies for unauthorized external principals.
alicloud.ram.policy.least_privilege,alicloud,ram,policy,least_privilege,CIS,1,1,CIS/12.4,(refined)
alicloud.ram.policy.policy_conditions_used,alicloud,ram,policy,policy_conditions_used,CIS,1,1,CIS/2.14,(refined)
alicloud.ram.policy.policy_enabled,alicloud,ram,policy,policy_enabled,CIS,1,1,CIS/5.4.4,(refined)
alicloud.ram.policy.principal_external,alicloud,ram,policy,principal_external,CANADA_PBMM,1,1,CANADA_PBMM/SA-9(5),Check RAM policy statements for unauthorized external principals.
alicloud.ram.policy.statement,alicloud,ram,policy,statement,CANADA_PBMM,1,1,CANADA_PBMM/MA-3(3),(refined)
alicloud.ram.policy.system_authenticated_non_default,alicloud,ram,policy,system_authenticated_non_default,CIS,1,1,CIS/4.1.10,(refined)
alicloud.ram.role.change_control,alicloud,ram,role,change_control,CANADA_PBMM,1,1,CANADA_PBMM/CM-3(4),(refined)
alicloud.ram.role.custom_policies,alicloud,ram,role,custom_policies,CANADA_PBMM,1,1,CANADA_PBMM/SC-6,(refined)
alicloud.ram.role.least_privilege,alicloud,ram,role,least_privilege,CIS,1,1,CIS/5.4.4,(refined)
alicloud.ram.role.policy_attachments,alicloud,ram,role,policy_attachments,CIS,1,1,CIS/4.1.6,(refined)
alicloud.ram.role.policy_document,alicloud,ram,role,policy_document,CIS_ALICLOUD,1,1,CIS_ALICLOUD/5.1.3,check that RAM role policy documents do not contain wildcard actions or resources
alicloud.ram.role.trust_policy_external_ids,alicloud,ram,role,trust_policy_external_ids,CANADA_PBMM,1,1,CANADA_PBMM/SA-9(2),Check RAM role trust policies for unauthorized external Alibaba Cloud accounts.
alicloud.ram.role.wildcard_action,alicloud,ram,role,wildcard_action,CIS,1,1,CIS/4.1.3,(refined)
alicloud.ram.security.contact_information_configured,alicloud,ram,security,contact_information_configured,CIS,1,1,CIS/1.3,(refined)
alicloud.ram.security_preference.password_policy.minimum_length,alicloud,ram,security_preference,password_policy.minimum_length,CANADA_PBMM,1,1,CANADA_PBMM/AC-2(2),Ensure RAM security preference password policy enforces a minimum length.
alicloud.ram.user.account_management_enabled,alicloud,ram,user,account_management_enabled,CANADA_PBMM,1,1,CANADA_PBMM/AC-2(1),(refined)
alicloud.ram.user.allow_login_profile,alicloud,ram,user,allow_login_profile,CANADA_PBMM,1,1,CANADA_PBMM/AC-2(9),Check that RAM user login profiles require MFA for account management.
alicloud.ram.user.anonymous_auth_disabled,alicloud,ram,user,anonymous_auth_disabled,CIS,1,1,CIS/3.2.1,(refined)
alicloud.ram.user.client_certificate.disabled,alicloud,ram,user,client_certificate.disabled,CIS,1,1,CIS/3.1.1,(refined)
alicloud.ram.user.inactive_disable,alicloud,ram,user,inactive_disable,CANADA_PBMM,1,1,CANADA_PBMM/AC-2(5),Check that RAM users inactive for 90 days are disabled.
alicloud.ram.user.key_90_days,alicloud,ram,user,key_90_days,CIS,1,1,CIS/1.10,(refined)
alicloud.ram.user.login_profile,alicloud,ram,user,login_profile,CIS,1,1,CIS/4.1.6,(refined)
alicloud.ram.user.login_profile.max_session_hours,alicloud,ram,user,login_profile.max_session_hours,NIST_800_171,1,1,NIST_800_171/3.1.11,PARTIAL: alicloud.ram.user.login_profile.max_session_hours ||| verifies console login session duration but not for RAM role or API key sessions
alicloud.ram.user.login_profile_90_days,alicloud,ram,user,login_profile_90_days,CIS,1,1,CIS/1.10,(refined)
alicloud.ram.user.namespace,alicloud,ram,user,namespace,CIS_ALICLOUD,1,1,CIS_ALICLOUD/5.6.1,Check that RAM users are assigned to a namespace for administrative boundary.
alicloud.ram.user.password_policy.enforce_change,alicloud,ram,user,password_policy.enforce_change,PCI_DSS,1,1,PCI_DSS/8.2.2,PARTIAL: alicloud.ram.user.password_policy.enforce_change ||| verifies password policy for RAM users exists but does not directly enforce shared credential use
alicloud.ram.user.security_key_enforcement,alicloud,ram,user,security_key_enforcement,CIS,1,1,CIS/1.3,(refined)
alicloud.ram.user.service_account_default_check,alicloud,ram,user,service_account_default_check,CIS,1,1,CIS/4.1.5,(refined)
alicloud.ram.user.tenant_admin_access_keys_absent,alicloud,ram,user,tenant_admin_access_keys_absent,CIS,1,1,CIS/1.12,(refined)
alicloud.ram.user.unused_credentials,alicloud,ram,user,unused_credentials,CIS,1,1,CIS/1.16,(refined)
alicloud.ram.user.user_name,alicloud,ram,user,user_name,NIST_800_171,1,1,NIST_800_171/3.5.1,Check that all RAM users are identified with a unique name.; (refined)
alicloud.ram.user_settings.password_reset_notification_enabled,alicloud,ram,user_settings,password_reset_notification_enabled,CIS,1,1,CIS/5.10,(refined)
alicloud.rds.connection.credentials_in_kms_configured,alicloud,rds,connection,credentials_in_kms_configured,CIS,1,1,CIS/12.3,(refined)
alicloud.rds.instance.backup_policy,alicloud,rds,instance,backup_policy,CANADA_PBMM,1,1,CANADA_PBMM/CP-10(2),Check RDS instance backup policy retention period is configured
alicloud.rds.instance.backup_retention_period,alicloud,rds,instance,backup_retention_period,CANADA_PBMM,1,1,CANADA_PBMM/CP-7(1),Check ApsaraDB RDS backup retention period is configured
alicloud.rds.instance.tls_version_configured,alicloud,rds,instance,tls_version_configured,CIS,1,1,CIS/10.3,(refined)
alicloud.sas.anti_ransomware.enabled,alicloud,sas,anti_ransomware,enabled,CIS,1,1,CIS/8.1.16,(refined)
alicloud.sas.check.periodic,alicloud,sas,check,periodic,NIST_800_171,1,1,NIST_800_171/3.12.1,Check that Alibaba Cloud Security Center is enabled and configured to perform periodic security checks.
alicloud.sas.service_status,alicloud,sas,service_status,,CANADA_PBMM,1,1,CANADA_PBMM/SI-6,Check that Security Center (SAS) is activated and in the required service mode.
alicloud.security_center.service.is_activated,alicloud,security_center,service,is_activated,CIS,1,1,CIS/4.14,(refined)
alicloud.securitycenter.service.enabled,alicloud,securitycenter,service,enabled,CIS,1,1,CIS/8.1.16,(refined)
alicloud.slb.listeners.tls_enabled,alicloud,slb,listeners,tls_enabled,CIS,1,1,CIS/16.1,(refined)
alicloud.slb.load_balancer.backend_server,alicloud,slb,load_balancer,backend_server,CANADA_PBMM,1,1,CANADA_PBMM/CP-8(2),"PARTIAL: alicloud.slb.load_balancer.backend_server ||| verifies backend server health check for load balancing, a partial telecom service component"
alicloud.threatdetection.instance.enabled,alicloud,threatdetection,instance,enabled,CIS,1,1,CIS/8.1.16,(refined)
alicloud.vpc.network_acl.configured,alicloud,vpc,network_acl,configured,CIS,1,1,CIS/5.4.4,(refined)
alicloud.vpc.network_acl.entry_policy,alicloud,vpc,network_acl,entry_policy,CANADA_PBMM,1,1,CANADA_PBMM/AC-4(21),"Check that VPC Network ACL entries enforce allowed traffic flows (deny by default, explicit allow rules)."
alicloud.vpc.peering_connection.accept_connection,alicloud,vpc,peering_connection,accept_connection,CANADA_PBMM,1,1,CANADA_PBMM/CA-3(3),Check that VPC peering connections require manual acceptance and are not auto-accepted.
alicloud.vpc.peering_connection.accept_status,alicloud,vpc,peering_connection,accept_status,CANADA_PBMM,1,1,CANADA_PBMM/CA-3(5),Check that VPC peering connections are in an 'Accepted' state only after review.
alicloud.vpc.security_group.configured,alicloud,vpc,security_group,configured,CIS,1,1,CIS/5.4.4,(refined)
alicloud.vpc.security_group.deny_all_inbound,alicloud,vpc,security_group,deny_all_inbound,CANADA_PBMM,1,1,CANADA_PBMM/SC-7(5),Check that a security group has a rule denying all inbound traffic.
alicloud.vpc.security_group.deny_all_ingress,alicloud,vpc,security_group,deny_all_ingress,CANADA_PBMM,1,1,CANADA_PBMM/SC-7(4),Check that a security group denies all inbound traffic by default.
alicloud.vpc.security_group.least_functionality,alicloud,vpc,security_group,least_functionality,CANADA_PBMM,1,1,CANADA_PBMM/CM-7(1),Check that VPC security group rules are not overly permissive for inbound traffic.
alicloud.vpn.gateway.ipsec_config,alicloud,vpn,gateway,ipsec_config,NIST_800_171,1,1,NIST_800_171/3.13.7,"PARTIAL: alicloud.vpn.gateway.ipsec_config ||| verifies IPsec configuration for split tunneling settings, but client-side enforcement may be partial"
aws.backup.recovery_point_encryption.state,aws,backup,recovery_point_encryption,state,CANADA_PBMM,1,1,CANADA_PBMM/CP-10(4),Check that AWS Backup recovery points are encrypted.
aws.backup.recovery_points.encryption,aws,backup,recovery_points,encryption,CANADA_PBMM,1,1,CANADA_PBMM/CP-8(1),Check that AWS Backup recovery points are encrypted with a customer-managed key (CMK).
aws.backup.recovery_points.minimum_count,aws,backup,recovery_points,minimum_count,CANADA_PBMM,1,1,CANADA_PBMM/CP-8(3),Ensure a minimum number of recovery points exist for critical services.
aws.backup.recovery_vault.backup_plan,aws,backup,recovery_vault,backup_plan,CANADA_PBMM,1,1,CANADA_PBMM/CP-8(2),Check that a backup plan exists for critical telecommunications services.; (refined)
aws.cloudtrail.trail.cloudwatch_logs_configured,aws,cloudtrail,trail,cloudwatch_logs_configured,CIS,1,1,CIS/4.15,(refined)
aws.cloudtrail.trail.enabled,aws,cloudtrail,trail,enabled,NIST_800_171,1,1,NIST_800_171/3.13.14,PARTIAL: aws.cloudtrail.trail.enabled ||| verifies logging exists for network activity but not VoIP-specific monitoring
aws.cloudtrail.trail.is_multi_region_trail,aws,cloudtrail,trail,is_multi_region_trail,CANADA_PBMM,1,1,CANADA_PBMM/SI-4(2),Check that CloudTrail is configured as a multi-region trail for comprehensive monitoring.
aws.cloudtrail.trail.is_multi_region_trails,aws,cloudtrail,trail,is_multi_region_trails,CANADA_PBMM,1,1,CANADA_PBMM/IR-4(1),Check that CloudTrail is configured with multi-region trails for centralized incident handling logs.
aws.cloudtrail.trail.kubernetes_logging,aws,cloudtrail,trail,kubernetes_logging,CIS,1,1,CIS/2.2.1,(refined)
aws.cloudwatch.alarm.action_enabled,aws,cloudwatch,alarm,action_enabled,CANADA_PBMM,1,1,CANADA_PBMM/SI-4(5),Check that CloudWatch alarms for security events have actions enabled.
aws.cloudwatch.alarm.sns_topic_configured,aws,cloudwatch,alarm,sns_topic_configured,CIS,1,1,CIS/4.15,(refined)
aws.cloudwatch.log_group.kubernetes_audit,aws,cloudwatch,log_group,kubernetes_audit,CIS,1,1,CIS/2.2.1,(refined)
aws.cloudwatch.log_group.retention_period,aws,cloudwatch,log_group,retention_period,CANADA_PBMM,1,1,CANADA_PBMM/AU-8(1),Ensure CloudWatch Log Groups have retention periods set to meet timestamp integrity requirements.
aws.databricks.workspace.unity_catalog.configured,aws,databricks,workspace,unity_catalog.configured,CIS,1,1,CIS/2.1.5,(refined)
aws.ebs.volume.encryption_at_rest,aws,ebs,volume,encryption_at_rest,NIST_800_171,1,1,NIST_800_171/3.8.1,Check that EBS volumes storing CUI are encrypted at rest.; (refined)
aws.ec2.config_file.permissions,aws,ec2,config_file,permissions,CIS,1,1,CIS/1.4.3,(refined)
aws.ec2.image.scan_on_launch,aws,ec2,image,scan_on_launch,NIST_800_171,1,1,NIST_800_171/3.14.5,Check if EC2 instances are configured to use AMIs with vulnerability scanning enabled or require scanning via Systems Manager.; (refined)
aws.ec2.image.scan_on_push,aws,ec2,image,scan_on_push,PCI_DSS,1,1,PCI_DSS/11.3.1.3,PARTIAL: aws.ec2.image.scan_on_push ||| verifies ECR image scanning is enabled on push but does not confirm execution after significant changes
aws.ec2.image.trusted_launch_enabled,aws,ec2,image,trusted_launch_enabled,CANADA_PBMM,1,1,CANADA_PBMM/SA-10(1),PARTIAL: aws.ec2.image.trusted_launch_enabled ||| verifies image integrity via trusted launch but not full developer CM process
aws.ec2.instance.antimalware_agent,aws,ec2,instance,antimalware_agent,PCI_DSS,1,1,PCI_DSS/5.2.1,Check EC2 instances have an anti-malware agent installed or managed via Systems Manager.; (refined)
aws.ec2.instance.baseline_ami,aws,ec2,instance,baseline_ami,CANADA_PBMM,1,1,CANADA_PBMM/CM-2(1),Check that EC2 instances are launched from an approved baseline AMI.; (refined)
aws.ec2.instance.ebs_encryption,aws,ec2,instance,ebs_encryption,CANADA_PBMM,1,1,CANADA_PBMM/CA-8(1),Check that EC2 instances use EBS volumes with encryption enabled.
aws.ec2.instance.maintenance_behavior,aws,ec2,instance,maintenance_behavior,CANADA_PBMM,1,1,CANADA_PBMM/MA-4(2),Check that EC2 instances are configured to stop/terminate rather than hibernate for non-local maintenance.
aws.ec2.instance.maintenance_policy,aws,ec2,instance,maintenance_policy,CANADA_PBMM,1,1,CANADA_PBMM/MA-4(3),(refined); Check EC2 instances have automated or approved maintenance policies configured.
aws.ec2.instance.namespace,aws,ec2,instance,namespace,CIS,1,1,CIS/5.6.1,(refined)
aws.ec2.instance.recovery_automation,aws,ec2,instance,recovery_automation,CANADA_PBMM,1,1,CANADA_PBMM/CP-2(8),"Check EC2 instances have recovery automation (e.g., CloudWatch alarms, Auto Recovery) configured.; (refined)"
