rule_a,rule_b,csp,rule_type,decision,winner,reason
aws.ec2.instance.maintenance_behavior,aws.ec2.instance.maintenance_policy,aws,config,DIFFERENT,B,"Rule A checks instance behavior during maintenance (stop/terminate vs hibernate), while rule B checks for automated/approved maintenance policies."
aws.ec2.instance.maintenance_behavior,aws.ec2.instance.recovery_behavior,aws,config,DIFFERENT,A,"Rule A checks behavior during maintenance (stop/terminate vs hibernate), while rule B checks recovery behavior after stop/terminate via termination policies."
aws.ec2.instance.namespace,aws.ec2.instance.recovery_instance,aws,config,UNSURE,B,"Rule A's description is incomplete ""(refined)"", making comparison impossible; rule B clearly checks for recovery automation via AWS Systems Manager."
aws.ec2.instance.recovery_automation,aws.ec2.instance.recovery_behavior,aws,config,DIFFERENT,A,"Rule A checks for recovery automation (e.g., CloudWatch alarms, Auto Recovery), while rule B checks recovery behavior via termination policies."
aws.ec2.instance.recovery_automation,aws.ec2.instance.recovery_instance,aws,config,SAME,B,"Both check for recovery automation; rule B specifies ""via AWS Systems Manager,"" which is a more precise and conventional implementation detail."
aws.ec2.instance.recovery_automation,aws.ec2.instance.recovery_instances,aws,config,SAME,B,"Both check for recovery automation; rule B's description is more complete, specifying ""via AWS Systems Manager"" as a typical method."
aws.ec2.instance.recovery_behavior,aws.ec2.instance.recovery_instance,aws,config,DIFFERENT,B,"Rule A checks recovery behavior via termination policies, while rule B checks for recovery automation via AWS Systems Manager."
aws.ec2.instance.recovery_behavior,aws.ec2.instance.recovery_instances,aws,config,DIFFERENT,A,"Rule A checks recovery behavior via termination policies, while rule B checks for recovery automation via AWS Systems Manager."
aws.ec2.instance.recovery_instance,aws.ec2.instance.recovery_instances,aws,config,SAME,A,"Rule names and descriptions are nearly identical, both checking EC2 recovery automation via AWS Systems."
aws.ec2.instance.required_ami,aws.ec2.instance.required_tags,aws,config,DIFFERENT,A,"Rule A checks for approved AMIs, while Rule B checks for required tags; distinct configuration aspects."
aws.ec2.instance.vulnerability_scan,aws.ec2.instance.vulnerability_scan_enabled,aws,config,DIFFERENT,A,"Rule A checks for existing vulnerability findings, while Rule B checks if scanning is enabled; different stages of vulnerability management."
aws.guardduty.audit.disable,aws.guardduty.audit.suspend,aws,ciem,DIFFERENT,B,"Rule A focuses on disabling GuardDuty malware logs or deleting CloudTrail, while Rule B focuses on suspending GuardDuty or disabling Security Hub; different actions and services."
aws.iam.activity_log.assume_role,aws.iam.activity_log.assume_role_anomaly,aws,ciem,DIFFERENT,B,"Rule A detects privileged role assumption and CloudTrail disabling, while Rule B detects anomalous cross-account role assumption and log deletion/stopping; different scopes and anomaly focus."
aws.iam.activity_log.assume_role,aws.iam.activity_log.assume_role_high_privilege,aws,ciem,DIFFERENT,B,"Rule A detects privileged role assumption and CloudTrail disabling, while Rule B adds detection of console logins without MFA; different security controls."
aws.iam.activity_log.assume_role,aws.iam.activity_log.assume_role_without_mfa,aws,ciem,DIFFERENT,B,"Rule A detects privileged role assumption and CloudTrail disabling, while Rule B focuses on privileged actions without MFA and root console logins; different primary concerns."
aws.iam.activity_log.assume_role,aws.iam.activity_log.role_assignment_modify,aws,ciem,DIFFERENT,B,"Rule A detects privileged role assumption and CloudTrail disabling, while Rule B detects IAM role assignment changes and suspicious chains; different types of IAM activities."
aws.iam.activity_log.assume_role_anomaly,aws.iam.activity_log.assume_role_high_privilege,aws,ciem,DIFFERENT,A,"Rule A focuses on anomalous cross-account AssumeRole and CloudTrail tampering, while rule B focuses on privileged role assumption without MFA."
aws.iam.activity_log.assume_role_anomaly,aws.iam.activity_log.assume_role_without_mfa,aws,ciem,DIFFERENT,A,"Rule A detects anomalous cross-account AssumeRole and CloudTrail interference, whereas rule B detects privileged actions performed without MFA."
aws.iam.activity_log.assume_role_anomaly,aws.iam.activity_log.role_assignment_modify,aws,ciem,DIFFERENT,A,"Rule A targets anomalous AssumeRole and CloudTrail events, while rule B monitors IAM role assignment modifications and suspicious permission chains."
aws.iam.activity_log.assume_role_high_privilege,aws.iam.activity_log.assume_role_without_mfa,aws,ciem,DIFFERENT,A,"Rule A emphasizes privileged role assumption and console logins without MFA, while rule B focuses on privileged actions without MFA and root console logins."
aws.iam.activity_log.assume_role_without_mfa,aws.iam.activity_log.deactivate_mfa,aws,ciem,DIFFERENT,A,"Rule A checks for performing privileged actions without MFA, while rule B detects MFA deactivation during an active console session."
aws.iam.activity_log.assume_role_without_mfa,aws.iam.activity_log.delete_mfa,aws,ciem,DIFFERENT,A,"Rule A monitors privileged actions without MFA, whereas rule B detects attempts to disable MFA or stop CloudTrail logging."
aws.iam.activity_log.deactivate_mfa,aws.iam.activity_log.delete_mfa,aws,ciem,DIFFERENT,A,"Rule A detects MFA deactivation during an active session, while rule B detects attempts to disable MFA or stop CloudTrail logging."
aws.iam.activity_log.delete_mfa,aws.iam.activity_log.delete_policy_version,aws,ciem,DIFFERENT,A,"Rule A detects attempts to disable MFA or stop CloudTrail, while rule B detects attempts to delete IAM policy versions or stop CloudTrail."
aws.iam.activity_log.delete_policy_version,aws.iam.activity_log.policy_modify,aws,ciem,DIFFERENT,A,"Rule A detects deletion of policy versions, while rule B detects broader policy modifications including tampering."
aws.iam.activity_log.policy_modify,aws.iam.activity_log.role_assignment_modify,aws,ciem,DIFFERENT,A,"Rule A detects policy modifications, while rule B detects role assignment changes; both are distinct IAM activity types."
aws.iam.account_password_policy.anonymous_auth_disabled,aws.iam.user.anonymous_auth_disabled,aws,config,SAME,A,"Both check for disabling anonymous authentication, but rule A is more specific to account password policy, making it a better name."
aws.iam.policy.condition_external_accounts,aws.iam.policy.principal_condition,aws,config,DIFFERENT,A,"Rule A checks for conditions restricting use to external accounts, while rule B checks for conditions requiring MFA or strong auth."
aws.iam.policy.condition_external_accounts,aws.iam.policy.principal_external_accounts,aws,config,DIFFERENT,A,"Rule A checks conditions for external accounts, while rule B checks principals from external accounts; conditions vs. principals are distinct."
aws.iam.policy.condition_external_accounts,aws.iam.role.trust_policy_external_accounts,aws,config,DIFFERENT,A,"Rule A checks policies for conditions on external accounts, while rule B checks role trust policies for external accounts; different policy types."
aws.iam.policy.condition_source_ip,aws.iam.policy.principal_condition,aws,config,DIFFERENT,A,"Rule A checks for source IP conditions in policies, while rule B checks for MFA or strong auth conditions; different condition types."
aws.iam.policy.principal_condition,aws.iam.policy.principal_external_accounts,aws,config,DIFFERENT,A,"Rule A checks for MFA or strong auth conditions, while rule B checks for principals from external accounts; conditions vs. principals are distinct."
aws.iam.policy.principal_external_accounts,aws.iam.role.trust_policy_external_accounts,aws,config,DIFFERENT,A,"Rule A checks IAM policies for external accounts, while Rule B specifically checks IAM role trust policies for external accounts, focusing on different policy types."
aws.iam.policy.principal_external_accounts,aws.iam.role.trust_policy_external_principal,aws,config,DIFFERENT,A,"Rule A checks IAM policies for external accounts, while Rule B checks IAM role trust policies for external system services, targeting different scopes and principal types."
aws.iam.role.trust_policy_boundary,aws.iam.role.trust_policy_change_control,aws,config,DIFFERENT,A,"Rule A checks for permissions boundaries to limit trust policy modifications, while Rule B checks for change control approval processes, addressing different security controls."
aws.iam.role.trust_policy_boundary,aws.iam.role.trust_policy_external_accounts,aws,config,DIFFERENT,A,"Rule A checks for permissions boundaries on trust policies, while Rule B checks for unauthorized external accounts in trust policies, focusing on different trust policy aspects."
aws.iam.role.trust_policy_boundary,aws.iam.role.trust_policy_external_principal,aws,config,DIFFERENT,A,"Rule A checks for permissions boundaries on trust policies, while Rule B checks for external system services in trust policies, addressing different trust policy concerns."
aws.iam.role.trust_policy_boundary,aws.iam.role.trust_policy_external_principals,aws,config,DIFFERENT,A,"Rule A checks for permissions boundaries on trust policies, while Rule B checks for unauthorized external principals in trust policies, focusing on different trust policy elements."
aws.iam.role.trust_policy_boundary,aws.iam.role.trust_policy_token_actions,aws,config,DIFFERENT,A,"Rule A checks for permissions boundaries on trust policies, while Rule B checks for unnecessary token actions in trust policies, targeting different trust policy configurations."
aws.iam.role.trust_policy_change_control,aws.iam.role.trust_policy_external_accounts,aws,config,DIFFERENT,A,"Rule A checks for change control on trust policies, while Rule B checks for unauthorized external accounts in trust policies, addressing different trust policy security aspects."
aws.iam.role.trust_policy_change_control,aws.iam.role.trust_policy_external_principal,aws,config,DIFFERENT,A,"Rule A checks for unauthorized changes, while rule B checks for external service permissions."
aws.iam.role.trust_policy_change_control,aws.iam.role.trust_policy_external_principals,aws,config,DIFFERENT,A,"Rule A focuses on change control, whereas rule B targets unauthorized external principals."
aws.iam.role.trust_policy_change_control,aws.iam.role.trust_policy_token_actions,aws,config,DIFFERENT,A,"Rule A monitors policy modifications, while rule B looks for specific unnecessary token actions."
aws.iam.role.trust_policy_external_accounts,aws.iam.role.trust_policy_external_principal,aws,config,SAME,B,Both check for external entities in trust policies; rule B's name is more precise about external principals.
aws.iam.role.trust_policy_external_accounts,aws.iam.role.trust_policy_external_principals,aws,config,SAME,B,Both target unauthorized external entities; rule B's name is broader and more conventional.
aws.iam.role.trust_policy_external_accounts,aws.iam.role.trust_policy_token_actions,aws,config,DIFFERENT,A,"Rule A checks for external AWS accounts, while rule B checks for unnecessary web identity token actions."
aws.iam.role.trust_policy_external_principal,aws.iam.role.trust_policy_external_principals,aws,config,SAME,B,Both check for external principals; rule B's name is more standard and comprehensive.
aws.iam.role.trust_policy_external_principal,aws.iam.role.trust_policy_token_actions,aws,config,DIFFERENT,A,"Rule A checks for external system services, while rule B checks for unnecessary token actions."
aws.iam.role.trust_policy_external_principals,aws.iam.role.trust_policy_token_actions,aws,config,DIFFERENT,A,"A checks for unauthorized external principals in trust policies, while B checks for specific unnecessary token actions like AssumeRoleWithWebIdentity."
aws.iam.user.namespace,aws.iam.user.user_name,aws,config,SAME,B,"Both check IAM user naming, but B's description is more specific about uniqueness, making it a better conventional name."
aws.securityhub.activity_log.disable,aws.securityhub.activity_log.finding_import,aws,ciem,DIFFERENT,A,"A detects disabling of security services, while B detects suppression or deletion of vulnerability findings."
aws.ssm.audit.command_execution,aws.ssm.audit.send_command,aws,ciem,DIFFERENT,A,"A detects command execution that could introduce vulnerabilities, while B focuses on enforcing software execution policies."
azure.aad.activity_log.bypass_mfa,azure.aad.activity_log.disable_mfa,azure,ciem,DIFFERENT,A,"A identifies attempts to bypass MFA, while B detects MFA policy disablement and anomalous RDP patterns."
azure.aad.activity_log.privileged_role_activation,azure.aad.activity_log.privileged_signin,azure,ciem,DIFFERENT,A,"A detects privileged role activation without PIM, while B detects privileged sign-in from unexpected locations."
azure.aad.activity_log.privileged_role_activation,azure.aad.audit.privileged_role_activation,azure,ciem,SAME,B,"Both detect privileged role activation, but B's description includes monitoring for sensitive resource modifications, making it more comprehensive."
azure.aad.activity_log.privileged_signin,azure.aad.activity_log.signin_after_inactivity,azure,ciem,DIFFERENT,A,"A detects privileged sign-in from unexpected locations, while B alerts on sign-in after account inactivity."
azure.aad.activity_log.privileged_signin,azure.aad.activity_log.signin_failure_series,azure,ciem,DIFFERENT,A,"Rule A detects privileged sign-ins from unexpected locations with deletion, while B detects rapid failed sign-in sequences, focusing on different attack patterns."
azure.aad.activity_log.privileged_signin,azure.aad.activity_log.signin_risk,azure,ciem,DIFFERENT,A,"Rule A focuses on privileged sign-ins from unexpected locations and deletion, whereas B detects risky sign-ins for privileged accounts, covering broader risk factors."
azure.aad.activity_log.signin_after_inactivity,azure.aad.activity_log.signin_failure_series,azure,ciem,DIFFERENT,A,"Rule A alerts on sign-ins after account inactivity, while B identifies rapid failed sign-in series, addressing distinct security events."
azure.aad.activity_log.signin_after_inactivity,azure.aad.activity_log.signin_risk,azure,ciem,DIFFERENT,A,"Rule A targets sign-ins after prolonged inactivity, while B detects risky sign-ins for privileged accounts, checking different aspects of authentication security."
azure.aad.activity_log.signin_failure_series,azure.aad.activity_log.signin_risk,azure,ciem,DIFFERENT,A,"Rule A identifies rapid failed sign-in sequences, while B detects risky sign-ins for privileged accounts, focusing on different threat indicators."
azure.aad.activity_log.signin_risk,azure.aad.audit.signin_risk,azure,ciem,DIFFERENT,A,"Rule A detects risky sign-ins for privileged accounts, while B detects remote command execution and high-risk sign-ins, covering different attack vectors."
azure.aad.audit.conditional_access_bypass,azure.aad.audit.user_access_review_bypass,azure,ciem,DIFFERENT,A,"Rule A monitors conditional access policy bypasses, while B detects bypass of access reviews, addressing different administrative control evasions."
azure.aad.audit.signin_chain_evasion,azure.aad.audit.signin_risk,azure,ciem,DIFFERENT,A,"Rule A identifies audit log gaps and sign-in chain evasion, while B detects remote command execution and high-risk sign-ins, focusing on different security breaches."
azure.aad.chain.inactive_reenable_disable,azure.aad.user.inactive_disable,azure,ciem,DIFFERENT,A,"A alerts on sign-in for inactive accounts, B checks that inactive accounts are disabled."
azure.aad.identity_protection.password_policy.minimum_length,azure.aad.password_policy.minimum_length,azure,config,SAME,B,"Both check minimum password length; B's name is more conventional without ""identity_protection""."
azure.aad.identity_protection.password_policy.minimum_length,azure.aad.password_policy.minimum_password_length,azure,config,SAME,B,Both check minimum password length; B specifies a length (14 chars) making it more precise.
azure.aad.password_policy.enforce_strong_password,azure.aad.user.password_policy.enforce_change,azure,config,DIFFERENT,A,"A checks for strong password enforcement, B checks for password change enforcement on shared accounts."
azure.aad.password_policy.enforce_strong_password,azure.aad.users.password_policy.enforce_strong_authn,azure,config,SAME,B,"Both check strong authentication; B's name is more complete (""users"" and ""authn"" vs. ""password"")."
azure.aad.password_policy.minimum_length,azure.aad.password_policy.minimum_password_length,azure,config,SAME,B,"Both check minimum password length; B's name is more specific (""minimum_password_length"")."
azure.aks.audit.privileged_pod_creation,azure.aks.audit.privileged_pod,azure,ciem,SAME,A,Both check for privileged pods; A's description is more detailed and conventional.
azure.aks.cluster.pod_security_policy,azure.aks.pod.security_context,azure,config,UNSURE,A,"Both relate to pod security, but insufficient detail to confirm identical checks; A is a common policy name."
azure.aks.cluster.pod_security_policy,azure.aks.pod_security_policy.allow_privilege_escalation,azure,config,DIFFERENT,A,"A checks overall pod security policy enforcement, B checks a specific policy setting (allow_privilege_escalation)."
azure.aks.node_pool.kubelet_config_ownership,azure.aks.node_pool.kubelet_config_permissions,azure,config,DIFFERENT,A,"A checks ownership of the kubelet config file, B checks the file permissions, which are distinct security controls."
azure.authorization.audit.role_assignment,azure.authorization.audit.role_assignment_chain,azure,ciem,SAME,B,Both detect deletion of activity log alerts combined with suspicious role assignments; B's description is slightly more specific.
azure.authorization.audit.role_assignment,azure.authorization.role_assignment.condition,azure,ciem,DIFFERENT,A,"A detects a specific suspicious event chain, B checks for conditional access requirements in role assignments."
azure.authorization.audit.role_assignment,azure.authorization.role_assignment.condition_ip,azure,ciem,DIFFERENT,A,"A detects a specific suspicious event chain, B checks for IP-based conditions in role assignments."
azure.authorization.audit.role_assignment,azure.authorization.role_assignment.external_principal,azure,ciem,SAME,B,Both check for external principals in role assignments; B's name is more precise.
azure.authorization.audit.role_assignment,azure.authorization.role_assignment.external_principals,azure,ciem,SAME,B,Both check for external principals/tenants in role assignments; B's name is plural and description is clearer.
azure.authorization.audit.role_assignment,azure.authorization.role_assignment.external_tenant,azure,ciem,SAME,B,Both check for external tenants in role assignments; B's name is more specific to the tenant scope.
azure.authorization.audit.role_assignment,azure.authorization.role_assignment.external_tenants,azure,ciem,DIFFERENT,A,"Rule A detects suspicious activity sequences, while rule B checks for unauthorized external tenant assignments."
azure.authorization.audit.role_assignment_chain,azure.authorization.role_assignment.condition,azure,ciem,DIFFERENT,A,"Rule A detects suspicious activity chains, while rule B checks for conditional access requirements in role assignments."
azure.authorization.role_assignment.condition,azure.authorization.role_assignment.condition_ip,azure,config,SAME,B,"Both check for conditional access requirements in role assignments, but rule B's name and description are more specific about IP conditions."
azure.authorization.role_assignment.condition,azure.authorization.role_assignment.external_principal,azure,config,DIFFERENT,A,"Rule A checks for conditional access requirements, while rule B checks for external principals in role assignments."
azure.authorization.role_assignment.condition,azure.authorization.role_assignment.external_principals,azure,config,DIFFERENT,A,"Rule A checks for conditional access requirements, while rule B checks for external tenants in role assignments."
azure.authorization.role_assignment.condition,azure.authorization.role_assignment.external_tenant,azure,config,DIFFERENT,A,"Rule A checks for conditional access requirements, while rule B checks for external tenants in role assignments."
azure.authorization.role_assignment.condition,azure.authorization.role_assignment.external_tenants,azure,config,DIFFERENT,A,"Rule A checks for conditional access requirements, while rule B checks for unauthorized external tenants in role assignments."
azure.authorization.role_assignment.external_principal,azure.authorization.role_assignment.external_principals,azure,config,SAME,B,"Both check for external principals in role assignments, but rule B's name and description are more comprehensive."
azure.authorization.role_assignment.external_principal,azure.authorization.role_assignment.external_tenant,azure,config,SAME,A,"Both check for external principals, but A's description is more general and includes guest users, making it slightly broader."
azure.authorization.role_assignment.external_principal,azure.authorization.role_assignment.external_tenants,azure,config,DIFFERENT,B,"A checks for any external principals, while B specifies unauthorized external tenants, focusing on a stricter condition."
azure.authorization.role_assignment.external_principals,azure.authorization.role_assignment.external_tenant,azure,config,SAME,B,"Both check for external tenants, but B's description is more precise and directly matches the rule name."
azure.authorization.role_assignment.external_principals,azure.authorization.role_assignment.external_tenants,azure,config,DIFFERENT,B,"A checks for external tenants broadly, while B specifies unauthorized external tenants, indicating a more targeted security check."
azure.authorization.role_assignment.external_tenant,azure.authorization.role_assignment.external_tenants,azure,config,DIFFERENT,B,"A checks for any external tenants, while B specifies unauthorized external tenants, making B more specific and security-focused."
azure.authorization.role_definition.action,azure.authorization.role_definition.change_control,azure,config,DIFFERENT,B,"A checks for unauthorized actions in role definitions, while B focuses on change control for custom RBAC roles, addressing different aspects."
azure.automation.audit.runbook_execution,azure.automation.audit.runbook_start,azure,ciem,SAME,B,"Both monitor runbook execution/start for unauthorized software control, with B's description being slightly clearer."
azure.automation.chain.auditd_bypass,azure.automation.chain.patch_bypass,azure,ciem,DIFFERENT,A,"A detects auditd bypass via configuration changes, while B identifies patch bypass via tampering, targeting different security mechanisms."
azure.compute.activity_log.create_vm,azure.compute.activity_log.runcommand,azure,ciem,DIFFERENT,B,"Rule A monitors VM creation events, while rule B detects remote command execution, which are distinct activities."
azure.compute.activity_log.disable_vtpm,azure.compute.activity_log.runcommand,azure,ciem,DIFFERENT,B,"Rule A detects disabling of vTPM, a security feature, while rule B detects remote command execution, a different security concern."
azure.compute.image.baseline_approved,azure.compute.virtual_machine.baseline_image,azure,config,SAME,B,Both check that VMs are deployed from an approved baseline image; rule B's name is more direct and conventional.
azure.compute.image.baseline_approved,azure.compute.virtual_machine.image_baseline,azure,config,SAME,B,Both check that VMs are deployed from an approved baseline image; rule B's name is more direct and conventional.
azure.compute.virtual_machine.antimalware_enabled,azure.compute.virtual_machine.antimalware_extension,azure,config,SAME,A,Both check for antimalware extension enabled on Azure VMs; rule A's name is more precise and conventional.
azure.compute.virtual_machine.baseline_image,azure.compute.virtual_machine.image_baseline,azure,config,SAME,B,Both check that VMs are deployed from an approved baseline image; rule B's name is more direct and conventional.
azure.compute.virtual_machine.baseline_image,azure.compute.virtual_machine.image_reference,azure,config,SAME,B,Both check that VMs are deployed from approved images; rule B's name is more direct and conventional.
azure.compute.virtual_machine.baseline_image,azure.compute.virtual_machine.image_scan,azure,config,DIFFERENT,B,"Rule A checks for approved baseline images, while rule B checks for vulnerability scanning of images, which are distinct controls."
azure.compute.virtual_machine.baseline_image,azure.compute.virtual_machine.required_image,azure,config,SAME,A,"Both check for deployment from approved baseline images, with A's name being more specific and conventional."
azure.compute.virtual_machine.baseline_image,azure.compute.virtual_machine.trusted_image,azure,config,SAME,A,"Both check for approved/trusted images, but A's ""baseline_image"" is a more standard term than B's ""trusted_image""."
azure.compute.virtual_machine.disaster_recovery,azure.compute.virtual_machine.recovery_automation,azure,config,DIFFERENT,B,"A checks for disaster recovery via Azure Site Recovery, while B checks for recovery automation like boot diagnostics, which are distinct aspects."
azure.compute.virtual_machine.image_baseline,azure.compute.virtual_machine.image_reference,azure,config,SAME,A,"Both check for deployment from approved images, with A's ""image_baseline"" being a more precise and conventional term."
azure.compute.virtual_machine.image_baseline,azure.compute.virtual_machine.image_scan,azure,config,DIFFERENT,A,"A checks for approved baseline images, while B checks for vulnerability scanning of images, which are different security controls."
azure.compute.virtual_machine.image_baseline,azure.compute.virtual_machine.required_image,azure,config,SAME,A,"Both check for deployment from approved images, with A's ""image_baseline"" being a more specific and conventional term."
azure.compute.virtual_machine.image_baseline,azure.compute.virtual_machine.trusted_image,azure,config,SAME,A,"Both check for approved/trusted images, but A's ""image_baseline"" is a more standard term than B's ""trusted_image""."
azure.compute.virtual_machine.image_reference,azure.compute.virtual_machine.image_scan,azure,config,DIFFERENT,A,"A checks for approved images, while B checks for vulnerability scanning of images, which are distinct security aspects."
azure.compute.virtual_machine.image_reference,azure.compute.virtual_machine.required_image,azure,config,SAME,A,Both check for approved VM images; A's name is more conventional and descriptive.
azure.compute.virtual_machine.image_reference,azure.compute.virtual_machine.trusted_image,azure,config,SAME,A,Both check for approved/trusted VM images; A's name is more conventional and descriptive.
azure.compute.virtual_machine.image_scan,azure.compute.virtual_machine.required_image,azure,config,DIFFERENT,B,"A checks for vulnerability scanning in image galleries, while B checks for approved images only."
azure.compute.virtual_machine.image_scan,azure.compute.virtual_machine.trusted_image,azure,config,DIFFERENT,B,"A checks for vulnerability scanning in image galleries, while B checks for approved/trusted images."
azure.compute.virtual_machine.maintenance_behavior,azure.compute.virtual_machine.maintenance_config,azure,config,SAME,A,Both check VM maintenance configurations; A's name is more specific and descriptive.
azure.compute.virtual_machine.required_image,azure.compute.virtual_machine.trusted_image,azure,config,SAME,A,Both check for approved/trusted VM images; A's name is more conventional and descriptive.
azure.compute.vm.inventory,azure.compute.vm.namespace,azure,config,UNSURE,A,"A checks for VM inventory tracking, B's description is unclear; insufficient info to confirm same."
azure.monitor.activity_log.alert_rule_change,azure.monitor.activity_log.alert_rule_deletion,azure,ciem,DIFFERENT,B,"A monitors alert rule modifications, B monitors deletions; distinct aspects of alert rule changes."
azure.monitor.activity_log.alert_rule_change,azure.monitor.activity_log.diagnostic_setting_change,azure,ciem,DIFFERENT,A,"Rule A monitors alert rule modifications, while rule B monitors diagnostic setting changes, which are distinct configuration types."
azure.monitor.activity_log.alert_rule_change,azure.monitor.activity_log.policy_change,azure,ciem,DIFFERENT,A,"Rule A focuses on alert rule modifications, whereas rule B monitors policy changes, addressing different security controls."
azure.monitor.activity_log.alert_rule_change,azure.monitor.activity_log.retention_change,azure,ciem,DIFFERENT,A,"Rule A checks alert rule modifications, while rule B checks retention policy changes, which are separate logging configurations."
azure.monitor.activity_log.alert_rule_change,azure.monitor.activity_log_alert.configured,azure,ciem,SAME,B,"Both monitor alert rule configurations, but rule B's name ""activity_log_alert.configured"" is more refined and conventional."
azure.monitor.activity_log.alert_rule_deletion,azure.monitor.activity_log.log_profile_deletion,azure,ciem,DIFFERENT,A,"Rule A monitors alert rule deletions, while rule B monitors log profile deletions, targeting different logging components."
azure.monitor.activity_log.alert_rule_deletion,azure.monitor.activity_log_alert.configured,azure,ciem,DIFFERENT,A,"Rule A monitors alert rule deletions, but rule B appears to check if alerts are configured, focusing on different states."
azure.monitor.activity_log.audit_gap,azure.monitor.activity_log.audit_gap_detection,azure,ciem,SAME,B,"Both identify gaps in log collection/audit coverage, with rule B's name ""audit_gap_detection"" being more precise."
azure.monitor.activity_log.audit_gap,azure.monitor.activity_log.disable,azure,ciem,DIFFERENT,A,"Rule A identifies gaps in log collection cycles, while rule B detects attempts to disable logs, addressing different evasion methods."
azure.monitor.activity_log.audit_gap,azure.monitor.activity_log.log_removal,azure,ciem,DIFFERENT,B,"A detects gaps in log cycles, B detects removal of logs or disabling settings."
azure.monitor.activity_log.audit_gap,azure.monitor.activity_log.reduction,azure,ciem,DIFFERENT,B,"A focuses on audit gaps, B focuses on diagnostic setting deletions/modifications."
azure.monitor.activity_log.audit_gap,azure.monitor.activity_log.suppression,azure,ciem,DIFFERENT,B,"A identifies gaps in log cycles, B identifies workspace or diagnostic setting deletions."
azure.monitor.activity_log.audit_gap,azure.monitor.audit.log_removal,azure,ciem,DIFFERENT,B,"A checks for audit gaps, B detects deletion/export of logs or workspaces."
azure.monitor.activity_log.diagnostic_setting_change,azure.monitor.activity_log.diagnostic_setting_modified,azure,ciem,SAME,B,"Both detect changes to diagnostic settings, B's description includes retention/rotation specifics."
azure.monitor.activity_log.diagnostic_setting_change,azure.monitor.activity_log.policy_change,azure,ciem,DIFFERENT,B,"A detects diagnostic setting changes, B monitors policy or directory changes."
azure.monitor.activity_log.diagnostic_setting_change,azure.monitor.activity_log.retention_change,azure,ciem,DIFFERENT,B,"A detects diagnostic setting changes, B specifically targets retention policy modifications."
azure.monitor.activity_log.disable,azure.monitor.activity_log.export_disable,azure,ciem,DIFFERENT,B,"A detects disabling logs or deleting policies, B detects disabling/deleting log exports."
azure.monitor.activity_log.disable,azure.monitor.activity_log.log_profile_deletion,azure,ciem,DIFFERENT,A,"Rule A detects disabling logs or deleting Policy assignments, while Rule B specifically detects deletion/modification of Log Profiles/Diagnostic Settings."
azure.monitor.activity_log.disable,azure.monitor.activity_log.log_removal,azure,ciem,SAME,A,"Both rules detect disabling of Azure Monitor logs or diagnostic settings, with Rule A also covering Policy assignments, making it broader and more conventional."
azure.monitor.activity_log.disable,azure.monitor.activity_log.policy_change,azure,ciem,DIFFERENT,A,"Rule A focuses on disabling logs or deleting Policy assignments, while Rule B monitors Azure Policy/resource policy changes and Azure AD modifications."
azure.monitor.activity_log.disable,azure.monitor.activity_log.reduction,azure,ciem,SAME,A,"Both rules detect disabling of logs or diagnostic settings, with Rule A also covering Policy assignments, making it more comprehensive."
azure.monitor.activity_log.disable,azure.monitor.activity_log.retention_change,azure,ciem,DIFFERENT,A,"Rule A detects disabling logs or deleting Policy assignments, while Rule B specifically detects Activity Log retention policy modifications."
azure.monitor.activity_log.disable,azure.monitor.activity_log.suppression,azure,ciem,SAME,A,"Both rules detect disabling or deletion/modification of diagnostic settings, with Rule A also covering Policy assignments, making it broader."
azure.monitor.activity_log.disable,azure.monitor.activity_log.timestamp_anomaly,azure,ciem,DIFFERENT,A,"Rule A detects disabling logs or deleting Policy assignments, while Rule B identifies log timestamp discrepancies or unauthorized deletions."
azure.monitor.activity_log.disable,azure.monitor.audit.disable_log_profile,azure,ciem,SAME,A,"Both rules detect disabling of log profiles or similar settings, with Rule A also covering Policy assignments, making it more comprehensive."
azure.monitor.activity_log.disable,azure.monitor.activity_log.profile.log_retention,azure,ciem,DIFFERENT,A,"Rule A detects disabling of logs, while rule B checks retention duration, which are distinct aspects of log management."
azure.monitor.activity_log.disable,azure.monitor.activity_log_alert.configured,azure,ciem,DIFFERENT,A,"Rule A detects disabling of logs, while rule B checks if alerts are configured, focusing on different security controls."
azure.monitor.activity_log.export_disable,azure.monitor.activity_log.log_removal,azure,ciem,SAME,B,"Both detect disabling or deletion of activity log export/removal, with rule B's description being more precise about log removal."
azure.monitor.activity_log.export_disable,azure.monitor.activity_log.reduction,azure,ciem,SAME,B,"Both focus on detecting disabling/deletion of activity log exports, with rule B's description covering similar chained actions."
azure.monitor.activity_log.export_disable,azure.monitor.activity_log.suppression,azure,ciem,SAME,B,"Both involve detecting disabling of activity log exports, with rule B's description including related suppression actions."
azure.monitor.activity_log.log_profile_deletion,azure.monitor.activity_log.log_removal,azure,ciem,SAME,B,"Both detect deletion/modification of log profiles/diagnostic settings and log removal, with rule B's description being clearer."
azure.monitor.activity_log.log_profile_deletion,azure.monitor.activity_log.reduction,azure,ciem,SAME,B,"Both identify diagnostic setting deletions/modifications and chained actions, with rule B's description being more concise."
azure.monitor.activity_log.log_profile_deletion,azure.monitor.activity_log.suppression,azure,ciem,SAME,B,"Both involve detection of log profile/diagnostic setting deletions, with rule B's description including workspace deletions."
