CISA_Cyber_Essentials_Checklist
Section,Role,Action Item
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"guided tool containing information to reduce cyber risk, training material for"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"employees, and more.National Initiative for Cybersecurity Careers and Studies (NICCS): the NICCS"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,Training Catalog provides a listing of cybersecurity and cybersecurity-related
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,training courses offered in the United States.
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,SANS: Live and virtual computer security training  developed by industry leaders
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,and taught by real-world practitioners.
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,FedVTE: The Federal Virtual Training Environment (FedVTE)  provides free online
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"cybersecurity training to federal, state, local, tribal, and territorial government"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"employees, federal contractors, and U.S. military veterans.Resources for Taking ActionLeverage basic cybersecurity training. Your staff needs a basic understanding of the threats they encounter online in"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"order to effectively protect your organization. Regular training helps employees understand their role in cybersecurity,"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"regardless of technical expertise, and the actions they take help keep your organization and customers secure."
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"Training should focus on threats employees encounter, like phishing emails, suspicious events to watch for, and simple"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,best practices individual employees can adopt to reduce risk. Each aware employee strengthens your network against
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"attack, and is another “sensor” to identify an attack. Your staff is often the first line of defense for your organization. Investing in your personnel reduces vulnerabilities"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"and drives a culture of ownership. They must be equipped to recognize cybersecurity risks such as phishing scams,"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"password hacks, and outdated anti-malware, as well as trained to respond and share information appropriately."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Consistent with the NIST Cybersecurity Framework and other standards, these actions are the starting point to Cyber Readiness.The tools and resources in this Guide are for informational and educational purposes. DHS/CISA does not guarantee their content nor endorse any specific person, entity, product, service, or enterprise."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Alliance:  broad-reaching education and awareness
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"efforts to empower users at home, work and school with the information they"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"need to keep themselves, their organizations, their systems and their sensitive"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,information safe and secure online.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Small Business Guide: Cyber Security:  provides five quick and low-cost methods
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,to improve cyber security in your organization.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"ISC2 Cybersecurity and IT Security Certifications and Training: webinars,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"videos, and more offering career advice, resolution to cybersecurity issues, and"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,collaboration with peers.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Global Cyber Alliance:  free, practical, real-world solutions that improve"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,cybersecurity. ISACA:  an international professional association focused on information
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,technology governance and provides in-person training on tools and techniques
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,from expert instructors.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Initiative for Cybersecurity Education (NICE) framework Workforce
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Management Guidebook:  key concepts to know and actions to take across your
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,organization.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Centers of Academic Excellence:  designed to reduce vulnerability in our
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,national information infrastructure by promoting higher education and expertise
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,in cyber defense.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Small Business Administration (SBA):  a national program that includes webinars,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"resources, and access to cybersecurity experts for small and medium-sized"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,businesses.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Cyber Crime Investigations – FBI:  The FBI’s Cyber Division provides guidance on
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,awareness and protection from cyber intrusions.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Alliance: broad-reaching education and awareness
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"efforts to empower users with the information they need to keep themselves,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"their organizations, their systems and their sensitive information safe and secure"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,online.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Global Cyber Alliance:  conveys trends and issues in the global cybersecurity
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,community by publishing data-driven research and original commentary.CISA National Cyber Awareness System:  offers a variety of information and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,products for users with varied technical expertise about security topics and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,threats.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,SANS Security Awareness Newsletter:  The OUCH! Newsletter OUCH! is the world’s
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"leading, free security awareness newsletter designed for everyone."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Cyber Threat Alliance:  cybersecurity resources including adversary playbooks
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,and information sharing provide the industry with a centralized source of trusted
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,information.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CISA Security Tips: Avoiding Social Engineering and Phishing Attacks:  security tips
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,for avoiding social engineering and phishing attacks and advice about common
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,security issues for non-technical computer users.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Cyber Readiness Institute Cyber Readiness Program:  a free compilation of
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"information about what you can do to reduce cyber risk, along with training"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"materials for your employees, and much more.Federal Bureau of Investigation resources:  solutions that businesses have"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,employed to safeguard against e-mail compromise scams and criminal groups
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,that engage in the scams.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,FBI Internet Crime Complaint Center:  the Internet Crime Complaint Center (IC3)
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,accepts online Internet crime complaints from victims or from a third party to the
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,complainant.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CISA Insights:  this CISA Insight provides information on cyber phishing email
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,attacks that non-federal partners can implement.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Global Cyber Alliance:  DMARC setup guide, free, practical, real-world solutions"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,that improve cybersecurity.Learn about risks like phishing and business email compromise.  Employees should be able to identify the trademark
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,signs of malicious emails. Alert your staff to phishing and scamming tactics and include the latest changes in
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,regular training. Regular updates and reminders keep everyone aware of current threats and how to handle them if
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,encountered. Ensure employees know how and to whom to report suspicious emails or possible phishing attempts.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Maintain awareness of current events related to cybersecurity.  Be proactive; alert staff to hazards that the
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,organization may encounter. Maintain vigilance by asking yourself: what types of cyber attack are hitting my peers or
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,others in my industry? What tactics were successful in helping my peers limit damage? What does my staff need to
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"know to help protect the organization and each other? On a national-level, are there any urgent cyber threats my staff"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,need to know about?Identify and use available training resources. Organizations should know whether they already have training
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"resources that are just being underutilized, or whether they should look outside of the organization to find these."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Training your staff and promoting cyber awareness does not mean you have to create training materials from scratch.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Many professional organizations, industry associations and academic institutions, as well as private sector and"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,government networks provide ready-to-use cybersecurity training resources at no cost. Encourage your organization’s
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,HR department to identify which resources are available to your industry.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"6ESSENTIAL ELEMENT: YOUR STAFF, THE USERS"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Resources for Taking Action
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Resources for Taking Action
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Resources for Taking Action
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Center for Internet Security Benchmarks : configuration guidelines for various
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,technology groups to safeguard systems against today’s evolving cyber threats.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Australian Cyber Security Centre:  a prioritized list of mitigation strategies to
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,protect organizations and their systems against a range of adversaries.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Alliance Resources Library : tips and resources to protect
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,devices.CIS Control  5: offers tips to manage security configuration of hardware and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,software assets using a configuration management and change control process.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NSA top ten cybersecurity mitigation:  NSA’s Top Ten Mitigation Strategies counter
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,a broad range of exploitation techniques used by Advanced Persistent Threat
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,(APT) actors.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Guide for Security Focused Configuration Management of Information SystemsResources for Taking ActionImplement secure configurations for all hardware and software assets  so that your physical and virtual assets are
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,protected. Create and maintain policies that identify and prioritize secure configurations. Review and implement secure
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,configuration guidance from your vendors and other sources. Conduct frequent vulnerability scans to identify and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,resolve weak or unprotected entry points.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Centre’s Cyber Essentials : a Small Business Guide
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"outlining five steps that can save time, money, and reduce the chances of a"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,cyber-attack on your business.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Cyber Readiness Institute Cyber Readiness Program:  contains information about
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,reducing cyber risk and training materials for your employees.NIST Computer Security Resource Center:  NIST’s cybersecurity- and information
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"security-related projects, publications, news, and events help supports"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,stakeholders.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CIS Control 3:  offers tips to help organizations maintain continuous vulnerability
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,management to avoid compromised computer systems.Resources for Taking ActionLeverage automatic updates for all operating systems and third-party software.  An easy step is to establish and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,maintain network security/patching procedures to prevent attacks by configuring functions and programs necessary
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"for security. Enable automatic updates whenever possible and be sure to obtain, test, and deploy the latest versions of"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,operating systems and applications.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Centre’s Cyber Essentials : a Small Business Guide
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"outlining five steps that can save time, money, and reduce the chances of a"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,cyber-attack on your business.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NSA Actively Manage Systems and Configurations : offers network management
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,tips.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Cyber Readiness Institute’s Cloud FAQ: Improving Cybersecurity for Remote
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Workers:   a guide to help prioritize data to keep on your network and data you
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,can move to the cloud.NIST Computer Security Resource Center:  NIST’s cybersecurity- and information
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"security-related projects, publications, news, and events help supports"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,stakeholders.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Center for Internet Security (CIS) Controls:  Control 1 and Control 2 provide
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,guidance on managing hardware and software assets on your network.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Global Cyber Alliance : a guide and checklist to identify and secure devices and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,applications.Resources for Taking ActionLearn what is on your network. Inventory all hardware and software assets so you know what is in-play and at-risk
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"from attack. Establish a monitoring strategy to identify unusual activity that could indicate an attack. Protecting your systems requires knowing which devices are connected to your network, which applications are in"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"use, who has access to these, and the security measures in place. A cyber-ready business keeps its systems up-to-"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,date and secure. These actions can support a proactive risk management culture and limit the risk of compromise.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,7
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NIST Special Publication Guide to Application Whitelisting:  this publication assists
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,organizations in understanding the basics of application whitelisting. Australian Cyber Security Centre Implementing Application Control:  this
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"document provides guidance on what application control is, and how to"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,implement application control.Create application integrity and allow list policies  so that only approved software can operate on your systems.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Ensure your applications perform in a secure and as-intended manner by instituting an Application Integrity and
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Application allow list policy that allows only approved, authorized software and their libraries to load and execute."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Monitor the integrity of allow list applications with periodic checks of file hashes to ensure no unauthorized
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"modifications have been made. As with identity and access management, due to the complexity and effort required,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"consider a staged, gradually phased-in approach starting  with high impact endpoints (e.g. domain controllers,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"application servers, databases), followed by any remaining support systems, and ending with any remaining user"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,workstations or endpoints.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Centre’s Cyber Essentials:  a Small Business Guide
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"outlining five steps that can save time, money, and reduce the chances of a"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,cyber-attack on your business.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NSA Steps to secure web browsing:  identifies three mitigations in commonly-used
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,web browsers that will ward off nearly all publicly known attacks.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NIST Special Publication 800-177 Rev 1:  Trustworthy Email
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NIST Special Publication 1800-6 : Domain Name System-Based Electronic Mail
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,SecurityCIS Control 7:  tips to minimize access to common points of entry such as web
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,browsers and email clients vulnerable to attack.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Global Cyber Alliance:  tools that ensure your brand’s name and email addresses
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,do not get used by others pretending to be you.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CISA Binding Operational Directive 18-01:  Enhance Email and Web Security
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CISA securing your web browser:  browser configuration guidance for safer
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Internet surfing.Leverage email and web browser security settings to protect against spoofed or modified emails and unsecured
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,webpages. Content filtering applied to external websites can prevent attackers from delivering malicious code to
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,desktop applications. Firewalls can also deny traffic to potentially harmful sites while allowing access to acceptable
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,applications. Customize your email settings to allow safe mail. Set the content filters to send mail containing certain
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,words and email addresses to the spam folder.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,National Cyber Security Centre’s Cyber Essentials:  a Small Business Guide
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"outlining five steps that can save time, money, and reduce the chances of a"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,cyber-attack on your business.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Australian Cyber Security Centre’s Essential Eight Explained: a prioritized list of
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,mitigation strategies to protect organizations and their systems against a range
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,of adversaries.CIS Control 3:  offers tips to help organizations maintain continuous vulnerability
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,management to avoid compromised computer systems.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CISA Binding Operational Directive 19-02:   ensures effective and timely
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,remediation of critical and high vulnerabilities identified through Cyber Hygiene
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,scanning.Remove unsupported or unauthorized hardware and software.  Supported hardware and software generally allow you
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,to receive updates and patches for vulnerabilities that otherwise are not available for unauthorized and unsupported
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,assets. Inventory authorized hardware and software throughout your organization. Know the physical location and user
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,of the hardware to keep patching updates current. This also allows for any unauthorized hardware or software to be
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,identified and removed.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Consistent with the NIST Cybersecurity Framework and other standards, these actions are the starting point to Cyber Readiness.The tools and resources in this Guide are for informational and educational purposes. DHS/CISA does not guarantee their content nor endorse any specific person, entity, product, service, or enterprise.ESSENTIAL ELEMENT: YOUR SYSTEMS, WHAT MAKES YOU OPERATIONAL"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,8Resources for Taking Action
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Resources for Taking Action
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Resources for Taking Action
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,: Ensure Access Only to Those Who Belong on Your Digital SpaceESSENTIAL ELEMENT: YOUR SURROUNDINGS
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NSA Transition to Multi Factor Authentication : outlines how to use Multi-factor
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Authentication to defend against an array of authentication attacks.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NIST Digital Identity Guidelines
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NIST Special Publication 1800-17 : Multifactor Authentication for E- Commerce FTC Remote access guidance:  identifies tools to secure networks for employees
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,and vendors who need remote access.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NSA Defend Privileges and Accounts : designed to limit exploitation and insider
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,threat.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Two Factor Auth (2FA): lists websites that support multi-factor authentication.Resources for Taking ActionLeverage multi-factor authentication for all users.  Strong access protection includes two or more factors: knowledge,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"possession, and inherence. Knowledge factors are something the user and only the user knows and include"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"passwords, or personal identification numbers (PIN). Possession factors are something the user and only the user"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"has, which can be a security badge, SMS text message with a code, and soft or hard token. Inherence factors are"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"something the user and only the user is, such as fingerprints, voice, retina/iris patterns, and palmprints. Start with"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"privileged, administrative, or remote-access users."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Center for Internet Security Control 4:  this guidance focuses on the processes
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,and tools used to control the assignment of administrative privileges.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Center for Internet Security Control  9: this guidance focuses on managing
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"operational use of ports, protocols, and services on networked devices.NSA Actively Manages Systems and Configurations : a guide that offers a range of"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,techniques to minimize mission impact.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,NSA Defend Privileges and Accounts : designed to limit exploitation and insider
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,threat.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,Global Cyber Alliance : a guide and checklist to identify and secure your devices
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,and applications.Resources for Taking ActionLearn who is on your network.  Do you know who is accessing your network? Do they have the proper permissions?
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"How are they accessing your networking, and through which entry points? Create an inventory of connected devices"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"to track who and what is on your network (i.e. Computers, smartphones, printers, and routers). Use network inventory"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,spreadsheets to enhance security by keeping you aware of unauthorized use. Monitor and analyze user activities for
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"anomalous behavior such as access attempts outside of normal operating hours or from unusual locations. The access you grant employees, managers, and customers into your digital environment needs limits, just as those set"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"in the physical work environment do (i.e., access to what’s “behind the counter” or business records).  Setting approved"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,access privileges and establishing your operational procedures requires knowing who operates on your technology
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,and with what level of authorization and accountability. User and Access Management is a complex activity and there
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,is no one size fits all solution.  Adopt a strategy appropriate to your organization and leverage a staged approach.
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,9
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"10 Consistent with the NIST Cybersecurity Framework and other standards, these actions are the starting point to Cyber Readiness.The tools and resources in this Guide are for informational and educational purposes. DHS/CISA does not guarantee their content nor endorse any specific person, entity, product, service, or enterprise.ESSENTIAL ELEMENT: YOUR SURROUNDINGS"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,CISA Creating and Managing Strong Passwords : identifies six actions that users
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,can take to create and manage strong passwords.Global Cyber Alliance Small Business Toolkit : provides tips and actions to keep
your accounts safer by moving beyond simple passwords.,Leader,NIST Special Publication 800-63 Digital Identity Guidelines:  covers identity
your accounts safer by moving beyond simple passwords.,Leader,proofing and authentication of users interacting with government IT systems over
your accounts safer by moving beyond simple passwords.,Leader,open networks.Leverage unique passwords for all user accounts. Many cyber attacks occur due to weak and easy-to-guess
your accounts safer by moving beyond simple passwords.,Leader,"passwords, so all passwords should be strong and unique, such as a sentence with numeric and non-numeric digits."
your accounts safer by moving beyond simple passwords.,Leader,Choose a pattern or template for your password that can be applied toward various accounts. This is something that
your accounts safer by moving beyond simple passwords.,Leader,is very individualized and therefore difficult to guess. A personal pattern or template allows for different passwords to
your accounts safer by moving beyond simple passwords.,Leader,"be used for every account, while making it easy for the user and only the user to remember. Some hackers are more"
your accounts safer by moving beyond simple passwords.,Leader,"sophisticated and use algorithms to figure out passwords, so consider mechanisms that are stronger than password"
your accounts safer by moving beyond simple passwords.,Leader,"authentication such as biometrics, one-time passwords, and tokens for sensitive applications and functions.Cyber Readiness Institute Cyber Readiness Program:  contains information about"
your accounts safer by moving beyond simple passwords.,Leader,reducing cyber risk and training materials for your employees.
your accounts safer by moving beyond simple passwords.,Leader,"NIST Guide to Enterprise Telework, Remote Access, and Bring Your Own Device"
your accounts safer by moving beyond simple passwords.,Leader,(BYOD) Security: this publication provides security considerations for several
your accounts safer by moving beyond simple passwords.,Leader,remote access solutions.
your accounts safer by moving beyond simple passwords.,Leader,National Cyber Security Alliance Resources Library : tips and resources to protect
your accounts safer by moving beyond simple passwords.,Leader,devices.
your accounts safer by moving beyond simple passwords.,Leader,SANS Security Policy TemplatesNIST Cybersecurity Resource Center :  NIST’s cybersecurity- and information
your accounts safer by moving beyond simple passwords.,Leader,"security-related projects, publications, news, and events help support"
your accounts safer by moving beyond simple passwords.,Leader,stakeholders.
your accounts safer by moving beyond simple passwords.,Leader,NIST Special Publication 800-53 (Rev. 4) Security and Privacy Controls for
your accounts safer by moving beyond simple passwords.,Leader,Federal Information  Systems and Organizations
your accounts safer by moving beyond simple passwords.,Leader,"NIST Special Publications Library: includes guidelines, technical specifications,"
your accounts safer by moving beyond simple passwords.,Leader,"recommendations, and reference materials comprised of multiple sub-series.Develop IT policies/procedures to address changes in user status. Implement policies, processes, and technologies"
your accounts safer by moving beyond simple passwords.,Leader,to ensure that only authorized users are granted the minimum privileges needed. Identify and deactivate unused
your accounts safer by moving beyond simple passwords.,Leader,"accounts, eliminate shared accounts, remove unnecessary privileges and enforce strong password policies to dissuade"
your accounts safer by moving beyond simple passwords.,Leader,"cyber criminals from accessing your networks.  Termination, separation, or even moves to other departments within the"
your accounts safer by moving beyond simple passwords.,Leader,organization with different access requirements require attention to user access abilities.Center for Internet Security Benchmarks : includes configuration guidelines for
your accounts safer by moving beyond simple passwords.,Leader,various technology groups to safeguard systems against today’s evolving cyber
your accounts safer by moving beyond simple passwords.,Leader,threats.
your accounts safer by moving beyond simple passwords.,Leader,NSA Defend Privileges and Accounts : designed to limit exploitation and insider
your accounts safer by moving beyond simple passwords.,Leader,threat.NIST Special Publication 800-53 (Rev. 4) Security and Privacy Controls for
your accounts safer by moving beyond simple passwords.,Leader,Federal Information  Systems and Organizations : this publication explains the
your accounts safer by moving beyond simple passwords.,Leader,principle of least privilege and how to apply least privilege to information systems.Grant access and admin permissions based on need-to-know and least privilege. Restrict user access to only
your accounts safer by moving beyond simple passwords.,Leader,"the information, networks, hardware and applications necessary. Are you asking why someone or something"
your accounts safer by moving beyond simple passwords.,Leader,needs privileged access? Does the marketing team need access to the company’s financial transactions? Does
