rule_id,provider,complexity,severity,rule_type,controls_unlocked,frameworks_unlocked,framework_sample,control_sample
ibm.iam.access_group.rules_configured,ibm,L2_API_CONFIG,MEDIUM,config,4,4,CANADA_PBMM;CIS_ALICLOUD;CIS_AWS;NIST_800_171,CANADA_PBMM/CCCS AU-6(3);CIS_ALICLOUD/5.1.3;CIS_AWS/4.1.6
ibm.iam.policy.least_privilege_enforced,ibm,L2_API_CONFIG,MEDIUM,config,4,2,CIS_AWS;CIS_AZURE,CIS_AWS/12.4;CIS_AZURE/2.4;CIS_AZURE/5.17
oci.compute.instance.agent_installed_configured,oracle,L2_API_CONFIG,MEDIUM,config,4,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS SI-3(1);CANADA_PBMM/CCCS SI-3(2);CANADA_PBMM/CCCS SI-3(7)
oci.identity.password_policy.hide_feedback_configured,oracle,L2_API_CONFIG,MEDIUM,config,4,3,CANADA_PBMM;NIST_800_171;PCI_DSS,CANADA_PBMM/CCCS AC-2(4);NIST_800_171/3_1_8;NIST_800_171/3_5_11
aws.vpc.network_acl.deny_all_ingress_restricted,aws,L3_API_LIST_CROSS,MEDIUM,config,4,2,CANADA_PBMM;CIS_AZURE,CANADA_PBMM/CCCS SC-7(4);CANADA_PBMM/CCCS SC-7(5);CIS_AZURE/5.4.4
gcp.compute.firewall.deny_all_ingress_restricted,gcp,L3_API_LIST_CROSS,MEDIUM,config,4,3,CANADA_PBMM;CIS_AZURE;CIS_OCI,CANADA_PBMM/CCCS SC-7(4);CANADA_PBMM/CCCS SC-7(5);CIS_AZURE/5.4.4
oci.oke.network_policy_enabled,oracle,L3_API_LIST_CROSS,MEDIUM,config,4,3,CIS_ALICLOUD;CIS_AWS;CIS_AZURE,CIS_ALICLOUD/5.2.4;CIS_AWS/4.3.1;CIS_AWS/4.3.2
oci.iam.policy.statements_external_principals_configured,oracle,L4_POLICY_PARSE,MEDIUM,config,4,2,CANADA_PBMM;CIS_IBM,CANADA_PBMM/CCCS SA-9(2);CANADA_PBMM/CCCS SA-9(4);CANADA_PBMM/CCCS SA-9(5)
aws.ec2.instance.antivirus_installed_configured,aws,L5_NEEDS_AGENT,MEDIUM,config,4,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS SI-3(1);CANADA_PBMM/CCCS SI-3(2);CANADA_PBMM/CCCS SI-3(7)
aws.cloudtrail.audit.log_rotation_failure,aws,L6_CIEM_EVENT,MEDIUM,ciem,4,2,CANADA_PBMM;NIST_800_171,CANADA_PBMM/CCCS SI-4(1);CANADA_PBMM/CCCS SI-4(11);CANADA_PBMM/CCCS SI-4(20)
ibm.iam.activity_log.api_key_activity,ibm,L6_CIEM_EVENT,MEDIUM,ciem,4,1,CANADA_PBMM,CANADA_PBMM/CCCS AC-6(1);CANADA_PBMM/CCCS AC-6(5);CANADA_PBMM/CCCS IR-4(1)
ibm.iam.activity_log.service_id_apikey,ibm,L6_CIEM_EVENT,MEDIUM,ciem,4,2,CANADA_PBMM;CIS_IBM,CANADA_PBMM/CCCS AC-6(10);CANADA_PBMM/CCCS AU-6(1);CANADA_PBMM/CCCS IR-7(1)
oci.audit.audit.update,oracle,L6_CIEM_EVENT,MEDIUM,ciem,4,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS IR-3(2);CANADA_PBMM/CCCS IR-7(1);CANADA_PBMM/CCCS IR-7(2)
alicloud.ram.chain.attach_policy,alicloud,L7_CIEM_CHAIN,HIGH,ciem,4,3,CIS_AZURE;CIS_IBM;NIST_800_171,CIS_AZURE/5.3.2;CIS_AZURE/5.3.7;CIS_IBM/5.2.10
alicloud.oss.bucket.anonymous_auth_disabled,alicloud,L1_API_BOOLEAN,HIGH,config,3,3,CIS_ALICLOUD;CIS_AZURE;CIS_GCP,CIS_ALICLOUD/5.2;CIS_AZURE/2.3.13;CIS_GCP/3.2.1
azure.compute.virtual_machine.antimalware_enabled,azure,L1_API_BOOLEAN,MEDIUM,config,3,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS SI-3(1);CANADA_PBMM/CCCS SI-3(7);PCI_DSS/5.2.1
gcp.logging.log.file_validation_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,3,2,CANADA_PBMM;NIST_800_53,CANADA_PBMM/CCCS AU-9;NIST_800_53/SA-10(1);NIST_800_53/SI-4-d
ibm.activity_tracker.route.encryption_enabled,ibm,L1_API_BOOLEAN,HIGH,config,3,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS AU-9(2);CANADA_PBMM/CCCS AU-9(4);PCI_DSS/10.2.2
ibm.activity_tracker.route.global_events_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,3,2,CANADA_PBMM;CIS_ALICLOUD,CANADA_PBMM/CCCS SI-4(14);CANADA_PBMM/CCCS SI-4(2);CIS_ALICLOUD/3.2.2
ibm.cos.bucket.kms_encryption_enabled,ibm,L1_API_BOOLEAN,HIGH,config,3,3,CANADA_PBMM;CIS_ALICLOUD;CIS_OCI,CANADA_PBMM/CCCS SC-28(1);CIS_ALICLOUD/1.2.32;CIS_OCI/5.3.1
ibm.cos.bucket.replication_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,3,3,RBI_BANK;RBI_NBFC;SOC2,RBI_BANK/6.2;RBI_NBFC/5.3;SOC2/A1.3
ibm.iam.user.anonymous_auth_disabled,ibm,L1_API_BOOLEAN,HIGH,config,3,3,CIS_ALICLOUD;CIS_AWS;CIS_GCP,CIS_ALICLOUD/5.6.4;CIS_AWS/3.2.1;CIS_GCP/3.2.1
ibm.secretsmanager.secret.rotation_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,3,3,CIS_ALICLOUD;CIS_GCP;CIS_K8S,CIS_ALICLOUD/5.4.2;CIS_GCP/4.4.2;CIS_K8S/5.4.2
ibm.vpc.instance.inventory_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,3,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(3);CANADA_PBMM/CCCS CM-8(5)
ibm.vsi.instance.detailed_monitoring_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,3,3,CANADA_PBMM;PCI_DSS;RBI_NBFC,CANADA_PBMM/CCCS SI-3(2);PCI_DSS/5.2.1;RBI_NBFC/3.2
oci.compute.instance.disaster_recovery_enabled,oracle,L1_API_BOOLEAN,MEDIUM,config,3,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(1);CANADA_PBMM/CCCS CP-2(3);CANADA_PBMM/CCCS CP-2(5)
alicloud.ecs.snapshot_policy.auto_snapshot_policy_configured,alicloud,L2_API_CONFIG,MEDIUM,config,3,2,CANADA_PBMM;CIS_AWS,CANADA_PBMM/CCCS CP-9(1);CANADA_PBMM/CCCS CP-9(3);CIS_AWS/6.1
alicloud.ram.policy_configured,alicloud,L2_API_CONFIG,MEDIUM,config,3,3,CANADA_PBMM;CIS_AWS;NIST_800_171,CANADA_PBMM/CCCS MA-3(3);CIS_AWS/5.4.4;NIST_800_171/3_4_4
alicloud.ram.role.least_privilege_enforced,alicloud,L2_API_CONFIG,MEDIUM,config,3,2,CIS_AWS;CIS_AZURE,CIS_AWS/5.4.4;CIS_AZURE/5.17;CIS_AZURE/5.3.7
aws.ec2.image.scan_on_launch_configured,aws,L2_API_CONFIG,MEDIUM,config,3,3,CANADA_PBMM;NIST_800_171;PCI_DSS,CANADA_PBMM/CCCS SA-10(1);NIST_800_171/3_14_5;PCI_DSS/11.3.1.3
azure.entra.user.unused_credentials_configured,azure,L2_API_CONFIG,MEDIUM,config,3,3,CISA_CE;CIS_ALICLOUD;CIS_OCI,CISA_CE/Your Surroundings-4;CIS_ALICLOUD/1.5;CIS_OCI/1.16
gcp.compute.instance.antivirus_osconfig_configured,gcp,L2_API_CONFIG,MEDIUM,config,3,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS SI-3(1);CANADA_PBMM/CCCS SI-3(7);PCI_DSS/5.2.1
gcp.compute.region_backend_services.failover_configured,gcp,L2_API_CONFIG,MEDIUM,config,3,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-8(1);CANADA_PBMM/CCCS CP-8(2);CANADA_PBMM/CCCS CP-8(3)
ibm.activity_tracker.tracker.log_retention_days_configured,ibm,L2_API_CONFIG,MEDIUM,config,3,3,CIS_ALICLOUD;CIS_AWS;PCI_DSS,CIS_ALICLOUD/1.2.22;CIS_AWS/2.1.2;PCI_DSS/3.2.1
ibm.cloud_databases.instance.no_public_access_enforced,ibm,L2_API_CONFIG,HIGH,config,3,3,CIS_AZURE;CIS_GCP;CIS_OCI,CIS_AZURE/2.3.13;CIS_GCP/6.1.1;CIS_OCI/2.8
ibm.iam.access_group_policy_configured,ibm,L2_API_CONFIG,MEDIUM,config,3,3,CIS_OCI;ISO27001_2022;NIST_800_171,CIS_OCI/4.18;ISO27001_2022/A.5.2;NIST_800_171/3_4_4
ibm.iam.rotate.access_key_90_days_configured,ibm,L2_API_CONFIG,MEDIUM,config,3,2,CIS_OCI;HIPAA,CIS_OCI/1.10;HIPAA/164_308_a_3_ii_c;HIPAA/164_308_a_5_ii_d
ibm.iam.service_id.api_key_usage_configured,ibm,L2_API_CONFIG,MEDIUM,config,3,3,CIS_AWS;CIS_OCI;PCI_DSS,CIS_AWS/4.1.6;CIS_OCI/1.14;PCI_DSS/7.2.5.1
ibm.is.instance.baseline_image_configured,ibm,L2_API_CONFIG,MEDIUM,config,3,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-2(1);CANADA_PBMM/CCCS CM-3(6);CANADA_PBMM/CCCS SI-7(1)
ibm.monitoring.alarm.configured,ibm,L2_API_CONFIG,MEDIUM,config,3,3,NIST_800_171;RBI_NBFC;SOC2,NIST_800_171/3_12_3;RBI_NBFC/3.2;SOC2/a1_1
ibm.security_and_compliance_center.account_settings_configured,ibm,L2_API_CONFIG,MEDIUM,config,3,2,CANADA_PBMM;FedRAMP_Moderate,CANADA_PBMM/CCCS SI-16;CANADA_PBMM/CCCS SI-6;FedRAMP_Moderate/SI-16
ibm.vpc.block_storage_snapshot.encrypted,ibm,L2_API_CONFIG,MEDIUM,config,3,2,CANADA_PBMM;CIS_OCI,CANADA_PBMM/CCCS CP-10(4);CANADA_PBMM/CCCS CP-9(1);CIS_OCI/5.3.1
oci.core.security_list.least_functionality_configured,oracle,L2_API_CONFIG,MEDIUM,config,3,3,CANADA_PBMM;CIS_AWS;CIS_AZURE,CANADA_PBMM/CCCS CM-7(1);CIS_AWS/7.1;CIS_AZURE/7.16
oci.vault.secret.permissions_configured,oracle,L2_API_CONFIG,MEDIUM,config,3,2,CIS_GCP;CIS_K8S,CIS_GCP/4.4.2;CIS_K8S/1.4.3;CIS_K8S/1.6.5
alicloud.slb.listeners.tls_enabled,alicloud,L3_API_LIST_CROSS,HIGH,config,3,3,CANADA_PBMM;CIS_AWS;PCI_DSS,CANADA_PBMM/CCCS CP-8(2);CIS_AWS/16.1;PCI_DSS/10.2.1.5
alicloud.vpc.peering_connection.accept_status_configured,alicloud,L3_API_LIST_CROSS,MEDIUM,config,3,2,CANADA_PBMM;CIS_ALICLOUD,CANADA_PBMM/CCCS CA-3(3);CANADA_PBMM/CCCS CA-3(5);CIS_ALICLOUD/3.4
gcp.compute.network_peering.export_custom_routes_configured,gcp,L3_API_LIST_CROSS,MEDIUM,config,3,2,CANADA_PBMM;CIS_AZURE,CANADA_PBMM/CCCS CA-3(3);CANADA_PBMM/CCCS CA-3(5);CIS_AZURE/5.4.4
ibm.iks.network_policy_enabled,ibm,L3_API_LIST_CROSS,MEDIUM,config,3,2,CIS_ALICLOUD;CIS_AWS,CIS_ALICLOUD/5.2.4;CIS_AWS/4.3.1;CIS_AWS/4.3.2
ibm.is.security_group.no_public_ingress_enforced,ibm,L3_API_LIST_CROSS,MEDIUM,config,3,3,CIS_AZURE;CIS_OCI;PCI_DSS,CIS_AZURE/7.16;CIS_OCI/2.7;PCI_DSS/11.4.7
ibm.vpc.loadbalancers.tls_listeners_configured,ibm,L3_API_LIST_CROSS,HIGH,config,3,2,CIS_AWS;NIST_800_171,CIS_AWS/11.4;CIS_AWS/16.1;NIST_800_171/3_13_15
ibm.vpc.security_group.deny_all_inbound_restricted,ibm,L3_API_LIST_CROSS,MEDIUM,config,3,2,CANADA_PBMM;CIS_OCI,CANADA_PBMM/CCCS SC-7(4);CANADA_PBMM/CCCS SC-7(5);CIS_OCI/2.5
oci.loadbalancer.listeners.tls_version_configured,oracle,L3_API_LIST_CROSS,HIGH,config,3,1,CIS_AWS,CIS_AWS/10.3;CIS_AWS/11.4;CIS_AWS/16.1
alicloud.ram.role.trust_policy_external_ids_configured,alicloud,L4_POLICY_PARSE,MEDIUM,config,3,2,CANADA_PBMM;CIS_AZURE,CANADA_PBMM/CCCS SA-9(2);CIS_AZURE/11.2;CIS_AZURE/17.1.4
aws.iam.policy.deny_maintenance_tools_restricted,aws,L4_POLICY_PARSE,MEDIUM,config,3,2,CANADA_PBMM;CIS_AZURE,CANADA_PBMM/CCCS MA-3(1);CANADA_PBMM/CCCS MA-3(2);CIS_AZURE/5.18
aws.iam.role.trust_policy_boundary_configured,aws,L4_POLICY_PARSE,MEDIUM,config,3,3,CANADA_PBMM;CIS_GCP;CIS_OCI,CANADA_PBMM/CCCS SC-6;CIS_GCP/4.1.10;CIS_OCI/1.14
aws.ec2.instance.patch_management_configured,aws,L5_NEEDS_AGENT,MEDIUM,config,3,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS SI-2(2);CANADA_PBMM/CCCS SI-2(3);PCI_DSS/6.3.3
k8s.kube_apiserver.argument.streaming_connection_idle_timeout_configured,k8s,L5_NEEDS_AGENT,MEDIUM,config,3,2,CIS_K8S;CIS_OCI,CIS_K8S/2.1.6;CIS_K8S/4.2.5;CIS_OCI/3.2.5
k8s.kubeconfig.file.permissions_configured,k8s,L5_NEEDS_AGENT,MEDIUM,config,3,1,CIS_K8S,CIS_K8S/1.4.3;CIS_K8S/2.2.1;CIS_K8S/4.1.3
k8s.kubelet.config.event_qps_configured,k8s,L5_NEEDS_AGENT,MEDIUM,config,3,3,CIS_GCP;CIS_K8S;CIS_OCI,CIS_GCP/3.2.7;CIS_K8S/4.2.9;CIS_OCI/3.2.7
k8s.kubelet.config.make_iptables_util_chains_configured,k8s,L5_NEEDS_AGENT,MEDIUM,config,3,2,CIS_K8S;CIS_OCI,CIS_K8S/2.1.8;CIS_K8S/4.2.7;CIS_OCI/3.2.6
k8s.kubelet.config.rotate_certificates_configured,k8s,L5_NEEDS_AGENT,MEDIUM,config,3,3,CIS_GCP;CIS_K8S;CIS_OCI,CIS_GCP/3.2.8;CIS_K8S/4.2.11;CIS_OCI/3.2.9
k8s.node.file_system.ownership_configured,k8s,L5_NEEDS_AGENT,MEDIUM,config,3,1,CIS_K8S,CIS_K8S/1.4.4;CIS_K8S/2.2.2;CIS_K8S/4.1.4
aws.cloudtrail.audit.config_deletion,aws,L6_CIEM_EVENT,MEDIUM,ciem,3,3,CANADA_PBMM;NIST_800_171;PCI_DSS,CANADA_PBMM/CCCS RA-5(1);NIST_800_171/3_6_3;PCI_DSS/10.7.1
azure.aks.audit.privileged_pod_creation,azure,L6_CIEM_EVENT,MEDIUM,ciem,3,3,CIS_ALICLOUD;CIS_K8S;CIS_OCI,CIS_ALICLOUD/5.2.1;CIS_K8S/2.1.1;CIS_OCI/2.2.2
azure.securitycenter.audit.disable,azure,L6_CIEM_EVENT,HIGH,ciem,3,1,CANADA_PBMM,CANADA_PBMM/CCCS SI-3(1);CANADA_PBMM/CCCS SI-3(2);CANADA_PBMM/CCCS SI-3(7)
ibm.activity_tracker.audit.route_delete,ibm,L6_CIEM_EVENT,HIGH,ciem,3,2,CANADA_PBMM;NIST_800_171,CANADA_PBMM/CCCS SI-4(2);CANADA_PBMM/CCCS SI-4(4);NIST_800_171/3_6_3
ibm.iam.activity_log.access_policy_modify,ibm,L6_CIEM_EVENT,MEDIUM,ciem,3,2,CIS_AZURE;ISO27001_2022,CIS_AZURE/2.4;CIS_AZURE/5.3.7;ISO27001_2022/A.5.2
ibm.security_advisor.audit.disable,ibm,L6_CIEM_EVENT,HIGH,ciem,3,3,CIS_AZURE;CIS_OCI;PCI_DSS,CIS_AZURE/8.1.16;CIS_OCI/4.15;PCI_DSS/5.3.4
k8s.audit.activity_log.audit_policy_edit,k8s,L6_CIEM_EVENT,MEDIUM,ciem,3,2,CANADA_PBMM;CIS_ALICLOUD,CANADA_PBMM/CCCS IR-3(2);CIS_ALICLOUD/1.2.20;CIS_ALICLOUD/3.2.2
k8s.audit.logging.disable,k8s,L6_CIEM_EVENT,HIGH,ciem,3,3,CANADA_PBMM;CIS_ALICLOUD;CIS_OCI,CANADA_PBMM/CCCS IR-7(2);CIS_ALICLOUD/3.2.2;CIS_OCI/2.3.1
gcp.iam.chain.anomaly,gcp,L7_CIEM_CHAIN,HIGH,ciem,3,3,CANADA_PBMM;CIS_ALICLOUD;NIST_800_171,CANADA_PBMM/CCCS AU-7(1);CIS_ALICLOUD/1.2.20;NIST_800_171/3_3_9
ibm.activity_tracker.chain.export_suppress,ibm,L7_CIEM_CHAIN,HIGH,ciem,3,1,CIS_ALICLOUD,CIS_ALICLOUD/1.2.22;CIS_ALICLOUD/1.2.23;CIS_ALICLOUD/3.2.2
ibm.iam.chain.tracker_access,ibm,L7_CIEM_CHAIN,HIGH,ciem,3,3,CANADA_PBMM;CIS_ALICLOUD;NIST_800_171,CANADA_PBMM/CCCS AU-2(3);CIS_ALICLOUD/1.2.20;NIST_800_171/3_3_9
k8s.rbac.chain.clusterrole_escalation,k8s,L7_CIEM_CHAIN,HIGH,ciem,3,3,CANADA_PBMM;CIS_AZURE;PCI_DSS,CANADA_PBMM/CCCS CA-7(1);CIS_AZURE/8.1.16;PCI_DSS/6.3.1
alicloud.ecs.auto_provisioning_group.multi_zone_enabled,alicloud,L1_API_BOOLEAN,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-8(1);CANADA_PBMM/CCCS CP-8(3)
alicloud.ecs.instance.disaster_recovery_enabled,alicloud,L1_API_BOOLEAN,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(1);CANADA_PBMM/CCCS CP-2(5)
alicloud.ram.user.anonymous_auth_disabled,alicloud,L1_API_BOOLEAN,HIGH,config,2,2,CIS_AWS;CIS_GCP,CIS_AWS/3.2.1;CIS_GCP/3.2.1
aws.backup.recovery_points.encryption_enabled,aws,L1_API_BOOLEAN,HIGH,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-10(4);CANADA_PBMM/CCCS CP-8(1)
aws.iam.account.management_enabled,aws,L1_API_BOOLEAN,MEDIUM,config,2,2,CANADA_PBMM;CIS_OCI,CANADA_PBMM/CCCS AC-2(1);CIS_OCI/4.4
azure.cr.image.vulnerability_assessment_enabled,azure,L1_API_BOOLEAN,MEDIUM,config,2,2,CIS_ALICLOUD;PCI_DSS,CIS_ALICLOUD/5.2.1;PCI_DSS/11.3.1.3
gcp.gcr.container.scanning_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,2,1,SOC2,SOC2/cc_3_1;SOC2/cc_3_2
gcp.gke.binary.authorization_policy_compliance_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,2,1,CIS_GCP,CIS_GCP/5.1.4;CIS_GCP/5.10.4
ibm.activity_tracker.tracker.activity_tracker_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,CIS_AWS;NIST_800_171,CIS_AWS/2.1.2;NIST_800_171/3_12_1
ibm.api.connect.restapi_tracing_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,1,PCI_DSS,PCI_DSS/10.2.1.3;PCI_DSS/10.4.1.1
ibm.cloud_databases.cluster.multi_az_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,RBI_BANK;RBI_NBFC,RBI_BANK/6.2;RBI_NBFC/5.3
ibm.config.recorder.all_regions_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,HIPAA;SOC2,HIPAA/164_308_a_1_ii_a;SOC2/cc_3_4
ibm.cos.bucket.server_access_logging_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,NIST_800_171;PCI_DSS,NIST_800_171/3_8_5;PCI_DSS/10.2.2
ibm.iam.user.account_management_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,CANADA_PBMM;ISO27001_2022,CANADA_PBMM/CCCS AC-2(1);ISO27001_2022/A.5.2
ibm.iks.cluster.rbac_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,CIS_AWS;CIS_GCP,CIS_AWS/3.2.2;CIS_GCP/5.8.2
ibm.is.instance.disaster_recovery_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(4);CANADA_PBMM/CCCS CP-2(5)
ibm.monitoring.alert.action_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,2,CANADA_PBMM;SOC2,CANADA_PBMM/CCCS SI-4(5);SOC2/a1_1
ibm.scc.recorder.all_regions_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,2,1,PCI_DSS,PCI_DSS/11.5.1;PCI_DSS/11.5.2
k8s.workload.replica_high_availability_enabled,k8s,L1_API_BOOLEAN,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(4);CANADA_PBMM/CCCS CP-2(8)
oci.opensearch.service.domains_access_control_enabled,oracle,L1_API_BOOLEAN,MEDIUM,config,2,1,PCI_DSS,PCI_DSS/7.1.1;PCI_DSS/7.1.2
alicloud.actiontrail.trail.is_organization_trail_check,alicloud,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS IR-4(1);CANADA_PBMM/CCCS SI-4(2)
alicloud.ecs.instance.backup_policy_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(2);CANADA_PBMM/CCCS CP-2(3)
alicloud.ecs.instance.maintenance_window_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS MA-4(2);CANADA_PBMM/CCCS MA-4(3)
alicloud.kms.key.key_manager_configured,alicloud,L2_API_CONFIG,HIGH,config,2,2,CIS_K8S;NIST_800_171,CIS_K8S/1.4.3;NIST_800_171/3_13_10
alicloud.oss.bucket.sts_token_expiry_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,1,CIS_AZURE,CIS_AZURE/11.2;CIS_AZURE/17.1.4
alicloud.ram.password_policy.login_attempt_limit_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,2,CIS_ALICLOUD;NIST_800_171,CIS_ALICLOUD/1.14;NIST_800_171/3_1_8
alicloud.ram.password_policy.max_password_age_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,2,CIS_ALICLOUD;CIS_OCI,CIS_ALICLOUD/1.13;CIS_OCI/1.5
alicloud.ram.role.custom_policies_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-3(4);CANADA_PBMM/CCCS SC-6
alicloud.ram.role.wildcard_action_configured,alicloud,L2_API_CONFIG,HIGH,config,2,2,CIS_ALICLOUD;CIS_GCP,CIS_ALICLOUD/5.1.3;CIS_GCP/4.1.3
alicloud.ram.user.allow_login_profile_restricted,alicloud,L2_API_CONFIG,MEDIUM,config,2,2,CANADA_PBMM;CIS_AWS,CANADA_PBMM/CCCS AC-2(9);CIS_AWS/4.1.6
alicloud.ram.user.in_group_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,2,CIS_OCI;RBI_BANK,CIS_OCI/4.18;RBI_BANK/9.3
alicloud.ram.user.inactive_disable_configured,alicloud,L2_API_CONFIG,MEDIUM,config,2,2,CANADA_PBMM;CIS_OCI,CANADA_PBMM/CCCS AC-2(5);CIS_OCI/1.10
alicloud.vpc.flow.log_service_integration_check,alicloud,L2_API_CONFIG,MEDIUM,config,2,2,CIS_ALICLOUD;CIS_AWS,CIS_ALICLOUD/2.5;CIS_AWS/7.1
aws.ec2.image.baseline_approved_enforced,aws,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-2(3);CANADA_PBMM/CCCS CM-2(7)
aws.ec2.instance.maintenance_behavior_configured,aws,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS MA-4(2);CANADA_PBMM/CCCS MA-4(3)
aws.ec2.instance.recovery_behavior_configured,aws,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(4);CANADA_PBMM/CCCS CP-2(6)
aws.iam.account_password_policy.maximum_password_attempts_configured,aws,L2_API_CONFIG,MEDIUM,config,2,2,CIS_OCI;PCI_DSS,CIS_OCI/1.6;PCI_DSS/8.3.5
aws.iam.account_password_policy.no_anonymous_access_enforced,aws,L2_API_CONFIG,HIGH,config,2,2,CIS_AWS;CIS_GCP,CIS_AWS/3.2.1;CIS_GCP/3.2.1
aws.iam.user.password_policy_hard_expiry_configured,aws,L2_API_CONFIG,MEDIUM,config,2,2,CIS_OCI;PCI_DSS,CIS_OCI/1.5;PCI_DSS/8.2.2
aws.organizations.account.status_configured,aws,L2_API_CONFIG,MEDIUM,config,2,2,CANADA_PBMM;CIS_OCI,CANADA_PBMM/CCCS CA-7(1);CIS_OCI/6.2
aws.rds.db_instance.automated_backups_configured,aws,L2_API_CONFIG,MEDIUM,config,2,2,CANADA_PBMM;CIS_GCP,CANADA_PBMM/CCCS CP-10(2);CIS_GCP/6.1.1
azure.aks.cluster.pod_security_policy_configured,azure,L2_API_CONFIG,MEDIUM,config,2,1,CIS_ALICLOUD,CIS_ALICLOUD/5.2.2;CIS_ALICLOUD/5.2.5
azure.aks.pod.security_context_configured,azure,L2_API_CONFIG,MEDIUM,config,2,2,CIS_ALICLOUD;CIS_GCP,CIS_ALICLOUD/5.2.4;CIS_GCP/4.6.3
azure.compute.virtual_machine.maintenance_behavior_configured,azure,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS MA-4(2);CANADA_PBMM/CCCS MA-4(3)
azure.managementgroup.subscription.entra_tenant_transfer_restriction_configured,azure,L2_API_CONFIG,MEDIUM,config,2,2,CIS_AZURE;CIS_OCI,CIS_AZURE/5.25;CIS_OCI/6.2
azure.sql.connection.credentials_in_keyvault_configured,azure,L2_API_CONFIG,MEDIUM,config,2,2,CIS_AWS;CIS_OCI,CIS_AWS/12.3;CIS_OCI/2.8
gcp.compute.disk.encryption_default_configured,gcp,L2_API_CONFIG,HIGH,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS SC-28(1);CANADA_PBMM/CCCS SC-8(1)
gcp.iam.organization.essential_contacts_configured,gcp,L2_API_CONFIG,MEDIUM,config,2,1,ISO27001_2022,ISO27001_2022/A.5.5;ISO27001_2022/A.5.6
gcp.iam.project.password_policy_minimum_length_configured,gcp,L2_API_CONFIG,MEDIUM,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS AC-2(10);CANADA_PBMM/CCCS IA-2(3)
gcp.kms.cryptokey.rotation_schedule_configured,gcp,L2_API_CONFIG,HIGH,config,2,1,CANADA_PBMM,CANADA_PBMM/CCCS SC-12(2);CANADA_PBMM/CCCS SC-12(3)
