control_id,title,confidence_level,source
5.2.11,Ensure SSH IgnoreRhosts is enabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.7,Ensure permissions on /etc/cron.d are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.2,Ensure rsh client is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.3,Ensure secure ICMP redirects are not accepted,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.4,Ensure a print server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.2,Ensure re-authentication for privilege escalation is not disabled globally,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
11.2,Ensure that shared access signature (SAS) tokens expire within an hour,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
6.3.1,Ensure that Azure admin accounts are not used for daily operations,MEDIUM,1. https://learn.microsoft.com/en-us/security/privileged-access-workstations/critical- impact-accounts
5.5.4,Ensure default user umask is 027 or more restrictive,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.17,Ensure mail transfer agent is configured for local-only mode,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.4,Disable Automounting,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.5,Ensure permissions on /etc/cron.weekly are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.1,Ensure xinetd is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.12,Ensure only strong Ciphers are used,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.3.1,Ensure nodev option set on /dev/shm partition,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.9,Ensure a tftp server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.4,Ensure suspicious packets are logged,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.2.2,Ensure TDNF gpgcheck is globally activated,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.6,Ensure no duplicate group names exist,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
