unique_id,control_id,source,title,final_approach,original_approach,review_validation,technical_accuracy_score,confidence_level,program_name,review_recommendation
7.1.2.7__ensure-that-activity-log-alert-exists-for-create-or-update-sql-server-firewall-rule,7.1.2.7,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Activity Log Alert exists for Create or Update SQL Server Firewall Rule,Automated,Automated,AGREE,8,HIGH,azure_sql_firewall_rule_activity_log_alert_exists,- Modify: Enhance the automation details by specifying the need to check the action group configuration and ensure the alert's scope is comprehensive. Clarify the conditions for the alert to include b
7.1.1.4__ensure-that-logging-for-azure-key-vault-is-'enabled',7.1.1.4,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that logging for Azure Key Vault is 'Enabled',Automated,Automated,Unknown,0,HIGH,azure_keyvault_logging_enabled,
1.1.2.1__ensure-_tmp-is-a-separate-partition,1.1.2.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure /tmp is a separate partition,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Modify
2.1.1__ensure-time-synchronization-is-in-use,2.1.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure time synchronization is in use,Manual,Manual,Unknown,0,MEDIUM,,
7.1.1.7__ensure-that-virtual-network-flow-logs-are-captured-and-sent-to-log-analytics,7.1.1.7,"1. https://learn.microsoft.com/en-us/azure/network-watcher/vnet-flow-logs-overview 2. https://learn.microsoft.com/en-us/azure/network-watcher/vnet-flow-logs-cli Additional Information: On September 30, 2027, NSG flow logs will be retired, and creating new NSG flow logs will no longer be possible after June 30, 2025. Azure recommends migrating to virtual network flow logs, which address NSG flow log limitations. After retirement, traffic analytics using NSG flow logs will no longer be supported, and existing NSG flow log resources will be deleted. Previously collected NSG flow log records will remain available per their retention policies. For details, see the official announcement: https://azure.microsoft.com/en-gb/updates?id=Azure-NSG-flow-logs-Retirement.",Ensure that virtual network flow logs are captured and sent to Log Analytics,Automated,Automated,AGREE,8,HIGH,azure_network_virtual_network_flow_logs_enabled,"- Modify: Correct the CLI command to accurately reflect how to retrieve flow log configurations. Ensure the command aligns with the latest Azure CLI documentation and capabilities.
- Consider adding a"
18.3__ensure-storage-explorer-is-using-the-latest-version,18.3,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure Storage Explorer is using the latest version,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Modify
5.4.4__ensure-network-policy-is-enabled-and-set-as-appropriate,5.4.4,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Ensure Network Policy is Enabled and set as appropriate,Automated,Automated,Unknown,0,HIGH,azure_aks_network_policy_configured,
7.1.1.8__ensure-that-a-microsoft-entra-diagnostic-setting-exists-to-send-microsoft-graph-activity-logs-to-an-appropriate-destination,7.1.1.8,1. https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto- configure-diagnostic-settings 2. https://learn.microsoft.com/en-us/graph/microsoft-graph-activity-logs-overview 3. https://learn.microsoft.com/en-us/azure/azure-monitor/logs/cost-logs#pricing- model 4. https://azure.microsoft.com/en-gb/pricing/details/storage/blobs/ 5. https://azure.microsoft.com/en-gb/pricing/details/event-hubs/,Ensure that a Microsoft Entra diagnostic setting exists to send Microsoft Graph activity logs to an appropriate destination,Automated,Automated,AGREE,8,HIGH,azure_entra_diagnostic_setting_graph_activity_logs_enabled,"Modify  
- **Clarify Resource Type:** Ensure the correct resource type is used for Microsoft Entra identity services.
- **Update API Version:** Confirm the API version is current and appropriate.
- **"
5.2.13__ensure-only-strong-mac-algorithms-are-used,5.2.13,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure only strong MAC algorithms are used,Manual,Manual,Unknown,0,MEDIUM,,
2.1.7__ensure-'https-only'-is-set-to-'on',2.1.7,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'HTTPS Only' is set to 'On',Automated,Automated,Unknown,0,HIGH,azure_appservice_https_only_enabled,
2.1.1.1__ensure-'allowed-protocols'-for-shared-access-signature-(sas)-tokens-is-set-to-'https-only',2.1.1.1,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure 'Allowed Protocols' for shared access signature (SAS) tokens is set to 'HTTPS Only',Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,"- **Re-classify:** Change the classification from Manual to Automated. Provide detailed instructions on using Azure CLI or PowerShell to automate the compliance check.
- **Modify:** Enhance the assess"
15.2__ensure-customer-managed-keys-(cmk)-are-used-to-encrypt-data-at-rest-on-azure-elastic-san-volume-groups,15.2,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure customer-managed keys (CMK) are used to encrypt data at rest on Azure Elastic SAN volume groups,Automated,Automated,AGREE,8,HIGH,azure_elastic_san_volume_group_cmk_encryption_enabled,"- Modify: Enhance the automation details by including error handling, logging, and permission verification steps. Additionally, ensure that the example command for validation includes all necessary pl"
2.2.3__ensure-'php-version'-is-currently-supported-(if-in-use),2.2.3,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'PHP version' is currently supported (if in use),Automated,Automated,AGREE,8,HIGH,azure_app_service_php_version_supported,"- **Modify:** Update the program name to follow a more conventional naming pattern, such as `azure_appservice_php_version_check`.
- **Enhance:** Incorporate error handling and logging into the automat"
10.3.12__ensure-redundancy-is-set-to-'geo-redundant-storage-(grs)'-on-critical-azure-storage-accounts,10.3.12,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure Redundancy is set to 'geo-redundant storage (GRS)' on critical Azure Storage Accounts,Automated,Automated,AGREE,9,HIGH,azure_storage_account_redundancy_grs_enabled,- **Modify:** Update the pass/fail criteria to include `Standard_RA-GRS` as a valid redundancy setting. This modification ensures that all relevant high-availability configurations are considered comp
2.1.11__ensure-incoming-client-certificates-are-enabled-and-required-(if-in-use),2.1.11,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure incoming client certificates are enabled and required (if in use),Automated,Automated,AGREE,9,HIGH,azure_appservice_incoming_client_certificates_enabled_required,"- Keep as-is, with a minor suggestion to enhance the documentation by including additional methods (like PowerShell) and handling of undefined properties. This will provide a more comprehensive guide "
5.5.1.3__ensure-password-expiration-warning-days-is-7-or-more,5.5.1.3,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure password expiration warning days is 7 or more,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Re-classify
6.1.7__ensure-permissions-on-_etc_gshadow-are-configured,6.1.7,1. NIST SP 800-53 Rev. 5: AC-3. MP-2,Ensure permissions on /etc/gshadow are configured,Manual,Manual,Unknown,0,MEDIUM,,
3.2__ensure-that-private-endpoints-are-used-where-possible,3.2,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json,Ensure That Private Endpoints Are Used Where Possible,Automated,Automated,AGREE,8,HIGH,azure_cosmosdb_private_link_enabled,Modify
6.3.2__ensure-that-guest-users-are-reviewed-on-a-regular-basis,6.3.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that guest users are reviewed on a regular basis,Automated (Verify),Automated,PARTIALLY_AGREE,7,MEDIUM,azure_entra_id_guest_user_review_enabled,"- **Modify:** Enhance the automation details by incorporating Microsoft Graph API to retrieve detailed sign-in activity for guest users. Clarify how the decision on user necessity is made, possibly su"
7.1.2.2__ensure-that-activity-log-alert-exists-for-delete-policy-assignment,7.1.2.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Activity Log Alert exists for Delete Policy Assignment,Automated,Automated,AGREE,9,HIGH,azure_monitor_activity_log_alerts_delete_policy_assigned_enabled,Keep as-is
9.3.6__ensure-that-role-based-access-control-for-azure-key-vault-is-enabled,9.3.6,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Role Based Access Control for Azure Key Vault is enabled,Automated,Automated,Unknown,0,HIGH,azure_keyvault_rbac_enabled,
7.1.2.10__ensure-that-activity-log-alert-exists-for-delete-public-ip-address-rule,7.1.2.10,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Activity Log Alert exists for Delete Public IP Address rule,Automated,Automated,AGREE,8,HIGH,azure_monitor_activity_log_alert_enabled,- **Modify:** Enhance the CLI query for precision and ensure it explicitly checks for the exact operation name. Consider renaming the program to `azure_monitor_activity_log_alert_public_ip_delete` for
11.6__ensure-locked-immutability-policies-are-used-for-containers-storing-business-critical-blob-data,11.6,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure locked immutability policies are used for containers storing business-critical blob data,Automated,Automated,AGREE,8,HIGH,azure_storage_container_immutability_policy_locked_verified,Modify
5.5.2__ensure-system-accounts-are-secured,5.5.2,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure system accounts are secured,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Re-classify
3.3.6__ensure-bogus-icmp-responses-are-ignored,3.3.6,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure bogus ICMP responses are ignored,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
17.16__ensure-redundancy-is-set-to-'geo-redundant-storage-(grs)'-on-critical-azure-storage-accounts,17.16,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure Redundancy is set to 'geo-redundant storage (GRS)' on critical Azure Storage Accounts,Automated,Automated,AGREE,9,HIGH,azure_storage_account_redundancy_geo_redundant_enabled,Keep as-is
10.3.1.2__ensure-that-storage-account-access-keys-are-periodically-regenerated,10.3.1.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Storage Account access keys are periodically regenerated,Automated,Automated,AGREE,8,HIGH,azure_storage_account_access_keys_rotated,"Modify  
- Update the API version in the example endpoint to a more current version.
- Enhance the automation script with error handling, logging, and possibly a notification system.
- Consider a more"
4.1__ensure-ssl-is-configured-for-cyclecloud,4.1,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure SSL is configured for CycleCloud,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,"- **Modify:** Include a section on potential automation using Azure CLI, PowerShell, or Azure Policy. Investigate and document any available CycleCloud APIs or CLI tools that could facilitate an autom"
2.1.3__ensure-'php-version'-is-currently-supported-(if-in-use),2.1.3,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'PHP version' is currently supported (if in use),Automated,Automated,AGREE,8,HIGH,azure_app_service_php_version_verified,"- **Modify:** Update the program name to better align with naming conventions, such as `azure_app_service_php_version_compliance_check`.
- **Enhance Error Handling:** Implement robust error handling a"
3.1.1__ensure-ipv6-is-enabled,3.1.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure IPv6 is enabled,Manual (Under Review),Manual,DISAGREE,4,MEDIUM,,Re-classify
3.3.5__ensure-broadcast-icmp-requests-are-ignored,3.3.5,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure broadcast ICMP requests are ignored,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
5.1.2__minimize-user-access-to-azure-container-registry-(acr),5.1.2,1. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- privileged-access#pa-7-follow-just-enough-administration-least-privilege-principle,Minimize user access to Azure Container Registry (ACR),Automated,Automated,AGREE,8,HIGH,azure_acr_user_access_minimized,"- Modify: Enhance the automation details by including guidance on interpreting the results of the CLI command and considering additional automation tools like PowerShell and Azure SDKs. Also, suggest "
10.1.3__ensure-'smb-channel-encryption'-is-set-to-'aes-256-gcm'-or-higher-for-smb-file-shares,10.1.3,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure 'SMB channel encryption' is set to 'AES-256-GCM' or higher for SMB file shares,Automated,Automated,Unknown,0,HIGH,azure_storage_account_smb_channel_encryption_verified,
6.3.4__ensure-that-all-'privileged'-role-assignments-are-periodically-reviewed,6.3.4,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that all 'privileged' role assignments are periodically reviewed,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Modify
2.4.7__ensure-'minimum-inbound-tls-version'-is-set-to-'1.2'-or-higher,2.4.7,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher,Automated,Automated,AGREE,8,HIGH,azure_functionapp_deploymentslot_minimum_tls_version_configured,- Modify: Enhance the CLI command example for clarity and completeness. Include PowerShell cmdlet examples as an alternative approach. Ensure the audit process covers all deployment slots and clarify 
20.10__ensure-trusted-launch-is-enabled-on-virtual-machines,20.10,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure Trusted Launch is enabled on Virtual Machines,Automated,Automated,AGREE,9,HIGH,azure_vm_trusted_launch_enabled,"- **Modify:** Enhance the PowerShell command example to explicitly demonstrate how to retrieve and check the relevant properties (`securityType`, `secureBoot`, and `vTPM`). This will ensure clarity an"
6.17__ensure-that-'restrict-access-to-microsoft-entra-admin-center'-is-set-to-'yes',6.17,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that 'Restrict access to Microsoft Entra admin center' is set to 'Yes',Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
15.5__ensure-public-network-access-is-disabled-for-batch-accounts,15.5,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure public network access is disabled for Batch accounts,Automated,Automated,AGREE,9,HIGH,azure_batch_account_public_network_access_disabled,"- Keep as-is, with a suggestion to enhance the automation script by including examples for PowerShell or SDKs and adding error handling/logging for improved robustness. The current classification and "
12.1__ensure-double-encryption-is-used-for-azure-data-box-in-high-security-environments,12.1,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure double encryption is used for Azure Data Box in high-security environments,Automated,Automated,AGREE,8,HIGH,azure_databox_jobs_double_encryption_enabled,- **Modify:** Update the CLI command to explicitly query the `doubleEncryptionEnabled` property to enhance clarity and accuracy. Verify the Azure Policy ID and provide guidance on creating a custom po
2.3.16__ensure-all-traffic-is-routed-through-the-virtual-network,2.3.16,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure all traffic is routed through the virtual network,Automated,Automated,AGREE,9,HIGH,azure_function_app_vnet_traffic_routing_enabled,Keep as-is
5.5.3__ensure-default-group-for-the-root-account-is-gid-0,5.5.3,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure default group for the root account is GID 0,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
4.1.1.4__ensure-rsyslog-is-not-configured-to-receive-logs-from-a-remote-client,4.1.1.4,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure rsyslog is not configured to receive logs from a remote client,Manual (Verify),Manual,PARTIALLY_AGREE,8,MEDIUM,,Modify
5.4.4__ensure-password-reuse-is-limited,5.4.4,,Ensure password reuse is limited,Manual (Under Review),Manual,DISAGREE,5,MEDIUM,,Re-classify
2.3.1__ensure-'java-version'-is-currently-supported-(if-in-use),2.3.1,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'Java version' is currently supported (if in use),Automated,Automated,Unknown,0,HIGH,azure_functionapp_java_version_supported,
2.2.12__ensure-samba-is-not-installed,2.2.12,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure Samba is not installed,Manual (Verify),Manual,PARTIALLY_AGREE,6,MEDIUM,,- Modify: Transition from a purely manual approach to an automated one using Azure Policy and Azure Security Center. Provide detailed steps on creating and applying a custom Azure Policy for checking 
__,row_182_untitled,CIS_AZURE_KUBERNETES_SERVICE_(AKS)_BENCHMARK_V1.5.0_PDF_updated_20250825_190857.json,,Automated,Automated,Unknown,0,MEDIUM,azure_aks_security_settings_verified,
2.3.1__ensure-nis-client-is-not-installed,2.3.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure NIS Client is not installed,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
10.2.2__ensure-'versioning'-is-set-to-'enabled'-on-azure-blob-storage-storage-accounts,10.2.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure 'Versioning' is set to 'Enabled' on Azure Blob Storage storage accounts,Automated,Automated,AGREE,8,HIGH,azure_storage_account_blob_versioning_enabled,Modify
2.4.16__ensure-cross-origin-resource-sharing-does-not-allow-all-origins,2.4.16,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure cross-origin resource sharing does not allow all origins,Automated,Automated,AGREE,9,HIGH,azure_app_service_cors_restrictions_configured,Keep as-is
2.3.4__ensure-telnet-client-is-not-installed,2.3.4,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure telnet client is not installed,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,"- **Re-classify:** The audit should be re-classified to include an automated approach. Implement Azure Policy to check for and enforce the absence of the telnet client on AKS nodes. Additionally, use "
6.2.2__ensure-that-an-exclusionary-geographic-conditional-access-policy-is-considered,6.2.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that an exclusionary geographic Conditional Access policy is considered,Automated (Verify),Automated,PARTIALLY_AGREE,8,MEDIUM,azure_entra_conditional_access_policy_exclusionary_geographic_ensured,Modify
2.2.14__ensure-net-snmp-is-not-installed-or-the-snmpd-service-is-not-enabled,2.2.14,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure net-snmp is not installed or the snmpd service is not enabled,Manual,Manual,Unknown,0,MEDIUM,,
7.1.2.4__ensure-that-activity-log-alert-exists-for-delete-network-security-group,7.1.2.4,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Activity Log Alert exists for Delete Network Security Group,Automated,Automated,AGREE,8,HIGH,azure_monitor_activity_log_alert_enabled,Modify
2.2.5__ensure-'ftp-state'-is-set-to-'ftps-only'-or-'disabled',2.2.5,,Ensure 'FTP state' is set to 'FTPS only' or 'Disabled',Automated,Automated,AGREE,8,HIGH,azure_app_service_ftp_state_verified,"- **Modify:** Correct the CLI command to directly query the `ftpsState` and consider renaming the program for clarity. Additionally, verify that the API version is up-to-date and incorporate error han"
5.2.20__ensure-ssh-idle-timeout-interval-is-configured,5.2.20,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure SSH Idle Timeout Interval is configured,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
6.2.16__ensure-no-users-have-.rhosts-files,6.2.16,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure no users have .rhosts files,Manual (Verify),Manual,PARTIALLY_AGREE,6,MEDIUM,,Modify
6.2.14__ensure-no-users-have-.forward-files,6.2.14,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure no users have .forward files,Manual (Under Review),Manual,DISAGREE,7,MEDIUM,,"- **Re-classify:** Change from Manual to Automated. Implement an automated solution using Azure Automation or Azure VM Extensions to perform the check across all relevant VMs.
- **Modify:** Include st"
2.2.2__ensure-'python-version'-is-currently-supported-(if-in-use),2.2.2,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'Python version' is currently supported (if in use),Automated,Automated,AGREE,9,HIGH,azure_app_service_python_version_verified,"Keep as-is  
- The approach is correctly classified as Automated, and the technical implementation is accurate. The recommendations for minor improvements are not critical to the current assessment's "
11.5__ensure-'versioning'-is-set-to-'enabled'-on-azure-blob-storage-storage-accounts,11.5,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure 'Versioning' is set to 'Enabled' on Azure Blob Storage storage accounts,Automated,Automated,AGREE,9,HIGH,azure_storage_blob_versioning_enabled,"Keep as-is
- The current assessment is comprehensive and correctly utilizes Azure's automation capabilities to check the compliance control. The minor improvements suggested are enhancements rather th"
2.3.17__ensure-cross-origin-resource-sharing-does-not-allow-all-origins,2.3.17,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure cross-origin resource sharing does not allow all origins,Automated,Automated,Unknown,0,HIGH,azure_functionapp_cors_allowed_origins_restricted,
2.2.6__ensure-'http-version'-is-set-to-'2.0'-(if-in-use),2.2.6,,Ensure 'HTTP version' is set to '2.0' (if in use),Automated,Automated,AGREE,8,HIGH,azure_app_service_http_version_set,Modify
2.1.21__ensure-cross-origin-resource-sharing-does-not-allow-all-origins,2.1.21,"1. https://learn.microsoft.com/en-gb/azure/app-service/app-service-web-tutorial- rest-api 2. https://learn.microsoft.com/en-us/cli/azure/webapp/cors 3. https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Headers_Cheat_Sheet.ht ml 4. https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CORS 5. https://cheatsheetseries.owasp.org/cheatsheets/Cross- Site_Request_Forgery_Prevention_Cheat_Sheet.html CIS Controls: Controls Version Control IG 1 IG 2 IG 3 v8 16.1 Establish and Maintain a Secure Application Development Process Establish and maintain a secure application development process. In the process, address such items as: secure application design standards, secure coding practices, developer training, vulnerability management, security of third-party code, and application security testing procedures. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard. ● ● v7 18.1 Establish Secure Coding Practices Establish secure coding practices appropriate to the programming language and development environment being used. ● ●  2.2 App Service Deployment Slots",Ensure cross-origin resource sharing does not allow all origins,Automated,Automated,AGREE,9,HIGH,azure_app_service_cors_allowed_origins_verified,Keep as-is
5.3.3__ensure-sudo-authentication-timeout-is-configured-correctly,5.3.3,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure sudo authentication timeout is configured correctly,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- **Modify:** Incorporate Azure Policy or Azure Automation to automate the compliance check process. This will reduce the need for manual SSH access and enhance security by leveraging Azure's native c
20.9__ensure-only-mfa-enabled-identities-can-access-privileged-virtual-machine,20.9,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure only MFA enabled identities can access privileged Virtual Machine,Automated (Verify),Automated,PARTIALLY_AGREE,6,MEDIUM,azure_vm_mfa_access_enabled,Modify
9.3.2__ensure-that-the-expiration-date-is-set-for-all-keys-in-non--rbac-key-vaults.,9.3.2,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that the Expiration Date is set for all Keys in Non- RBAC Key Vaults.,Automated,Automated,AGREE,8,HIGH,azure_keyvault_keys_expiration_date_set,Modify
6.1.2__ensure-that-'multifactor-authentication'-is-'enabled'-for-all-users,6.1.2,1. https://docs.microsoft.com/en-us/azure/multi-factor-authentication/multi-factor- authentication 2. https://learn.microsoft.com/en-us/entra/identity/authentication/concept- mandatory-multifactor-authentication 3. https://azure.microsoft.com/en-us/blog/announcing-mandatory-multi-factor- authentication-for-azure-sign-in/ 4. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-identity- management#im-4-authenticate-server-and-services,Ensure that 'multifactor authentication' is 'enabled' for all users,Automated,Automated,AGREE,8,HIGH,azure_encryption_users_mfa_enabled,"- Modify: Refine the PowerShell command to explicitly check for specific MFA methods and consider enhancing the program name for clarity. Additionally, incorporate checks for conditional access polici"
7.1.1.5__ensure-that-network-security-group-flow-logs-are-captured-and-sent-to-log-analytics,7.1.1.5,1. https://docs.microsoft.com/en-us/azure/network-watcher/network-watcher-nsg- flow-logging-portal 2. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-logging-threat- detection#lt-4-enable-network-logging-for-security-investigation,Ensure that Network Security Group Flow logs are captured and sent to Log Analytics,Automated,Automated,AGREE,8,HIGH,azure_network_security_group_flow_logs_enabled,- **Modify:** Update the API endpoint to directly query flow log settings and provide the expected JSON response structure for clarity. Consider renaming the program for better clarity and include Pow
2.3.13__ensure-public-network-access-is-disabled,2.3.13,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure public network access is disabled,Automated,Automated,AGREE,9,HIGH,azure_function_app_public_network_access_disabled,"- **Keep as-is**: The current assessment is accurate and well-structured. The automated approach using Azure CLI is suitable for this control, and the technical details are correct.
- **Optional Enhan"
2.4.13__ensure-deployment-slot-is-integrated-with-a-virtual-network,2.4.13,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure deployment slot is integrated with a virtual network,Automated,Automated,AGREE,8,HIGH,azure_app_service_deployment_slot_vnet_integration_enabled,Modify
6.2.10__ensure-users-own-their-home-directories,6.2.10,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure users own their home directories,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- **Modify:** Enhance the audit process by incorporating Azure's automation capabilities. Develop scripts using Azure CLI or PowerShell to automate the SSH and command execution steps. Consider integr
2.2.6__ensure-a-dns-server-is-not-installed,2.2.6,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure a dns server is not installed,Manual (Under Review),Manual,DISAGREE,5,MEDIUM,,Re-classify
